id	word__id	word__text	yngping	is_sandhi	is_primary	note	variant	source_type	updated_time	created_time
xxr3ahurvww	x2guehwv7gf	礱	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xpswuvbfyb3	xe3ajkehw22	聾	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xmvqpxqauv7	x89nt4uaaw4	曨	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xpxgndvvsgq	x4hwm3ja9tp	惀	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xkfquwssue8	x9h8wg6vggu	腀	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
x9ybz93uwst	x8b2kkxjmgr	鯩	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xpr8cffhxp5	x95rzkdfv46	錀	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
x7h8fusgzht	xaj26svgrkg	𧱜	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xwmr5pc8bh7	xt9n96h6g3a	蜦	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
x7magjm6djq	xayaqtymjw5	碖	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xjn5nwetd5n	x5xpr4925pf	侖	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xfts37fnehz	xh5hg2a3snj	蘢	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
x9w9gan96x3	xnw6yd82hhq	弄	loung242	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xcdcjactw4f	x75ynt3e7ce	哢	loung242	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xcqwub52sac	xxe7svs9jkb	㢅	loung242	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
x2wnvcvv3b4	xydhe2ebmhp	𢙱	loung242	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
x67bjapptbu	xzkzk6f3gws	梇	loung242	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xvf9jxt4vej	xr9qcjxum5c	律	luk5	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
x8ba93xy78z	xrqjf4xp6qp	轆索	luk21 sooh24	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:19
xaduehyt79t	xq89sdkhrzg	轆餅	luk33 biang33	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:19
xs9s3duf8pn	xc3r3rb4jsr	睩	luk5	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xjf5erwueru	xtt6aagbu6n	碌	luk5	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
x3s34r46cw5	x4nsgvzhy4j	𠷈	luk5	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xd2yynrw76h	xw39wcxaf6k	嵂	luk5	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xx39knhd8r9	xdg34ec8pnx	糞池	bung55 nie53	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:19
xaczd2c5qs9	xf546crehqh	睔	lung55	0	1			ime	2025-08-18 23:05:49	2025-05-16 16:54:18
x6qu262cywz	x9s5decg9xc	䆍	lung53	0	1			ime	2025-08-18 23:05:49	2025-05-16 16:54:19
xjexzak4jj6	xtf879bsqng	𡋱	loung242	0	1			ime	2025-08-18 23:05:49	2025-05-16 16:54:19
xvtw9sk8s5j	xrxbqtbx5p4	繂	luk5	0	1			ime	2025-08-18 23:05:49	2025-05-16 16:54:19
xw84jsg544z	xsx483jchw4	枋	bung55	0	1			ime	2025-08-18 23:05:49	2025-05-16 16:54:19
xr2v59j8yhu	xkx39wpnta4	糞掃塗	bung21 no55 lu53	1	1			ime	2025-08-25 23:16:22	2025-05-16 16:54:20
xw92ktru9px	xvepgzhez5j	碌碌	luk21 louk24	1	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
x8ztmfu3stg	xv3fhh2dsdz	隴	lung33	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:18
x9htuuqbzbs	xxnw6daex8e	輪鞋	lung33 e53	1	1			ime	2025-08-25 23:12:12	2025-05-16 16:54:19
xmnrqes3xnj	xbx68uan72h	甪	louk24	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xd48f6bm9h6	xg24skggsty	輪迴	lung33 hui53	1	1			ime	2025-08-25 23:12:12	2025-05-16 16:54:19
xj334hjte45	x9bzstvtubt	輪活	lung55 nguak5	1	1			ime	2025-08-23 21:26:25	2025-05-16 16:54:19
xvenb58q27m	x65824k3n7q	龍船經	lung55 sung55 ging55	1	0			ime	2025-08-25 23:12:12	2025-05-16 16:54:19
xnhz7quez5e	x9tkdezexa4	龍	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
x9nh3xupdtp	xg964wvczjj	龍船尾	lung33 nung33 mui33	1	1			ime	2025-08-25 23:12:12	2025-05-16 16:54:19
xq2au7dkksh	xza7ccf2jmp	龍船厝	lung21 sung21 cuo213	1	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xkkgj3s9vbb	x65824k3n7q	龍船經	lung55 nung55 ging55	1	1			ime	2025-08-25 23:12:12	2025-05-16 16:54:19
xgzq879zb66	xs3gf6vp893	龍船架	lung21 nung21 nga213	1	1			ime	2025-08-25 23:12:12	2025-05-16 16:54:19
x33p348spa8	xr3ah553rhk	龍船鼓轉頭	lung33 sung33 gu33 duong21 tau53	1	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
x6gx3z8mfmc	xkn7juwkqju	龍船癲	lung55 sung55 dieng55	1	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xuau9rtcsmm	x27vdxcvd97	律師	luk55 sy55	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:19
x4sd48hf83p	xfcvuzz6thw	倫	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xgqk6v4p5b4	xejuf8d77uy	轆	luk5	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xv7qukjbneh	xprq5p6mrrb	糞斛	bung55 heoyk5	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:19
xundpzpyq3r	xn5ruzqarge	率	luk5	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xw7xaqmm5d2	xyfmj7s9jyw	糞桶	bung53 teoyng33	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:19
xuknx743kv7	xktpudbemhb	糞楻	bung55 kuong53	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:19
xd4cuhe3eup	xk2cte9phfk	糞桸	bung55 ngie55	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:19
xm5a5t9v96x	x8aujs7k6vd	糞掃	bung53 noo213	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xav3dkch8g7	x8mhs8j3gkr	攏總	lung24 njung33	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:18
xfu9fx8cqup	xvvh2n6jw7b	糞蟲	bung55 teoyng53	1	1			ime	2025-08-25 23:16:21	2025-05-16 16:54:19
x2c9z28tbx8	xyyjeamt5zh	㖮	lung55	0	1			ime	2025-08-18 23:05:49	2025-05-16 16:54:18
xdeqkkev2tg	xf7sfrcstbr	龍船頭	lung55 sung55 tau53	1	0			ime	2025-08-23 16:17:08	2025-05-16 16:54:19
x79manvsqqf	xf7sfrcstbr	龍船頭	lung55 nung55 tau53	1	1			ime	2025-08-23 16:17:08	2025-05-16 16:54:19
x5n9abfngat	xur5qqa6huj	龍船	lung55 sung53	1	0			ime	2025-08-23 21:27:08	2025-05-16 16:54:19
x4eqkaqyaqs	xur5qqa6huj	龍船	lung55 nung53	1	1			ime	2025-08-23 21:27:08	2025-05-16 16:54:19
xe8dfs8mtnd	xs3gf6vp893	龍船架	lung21 sung21 ga213	1	0			ime	2025-08-25 23:12:12	2025-05-16 16:54:19
xv5mne7jyd4	xdg34ec8pnx	糞池	bung55 die53	1	0			ime	2025-08-25 23:12:13	2025-05-16 16:54:19
xsza556d4xv	xk2cte9phfk	糞桸	bung55 hie55	1	0			ime	2025-08-25 23:12:13	2025-05-16 16:54:19
xmqh82fd5hw	x8aujs7k6vd	糞掃	bung53 soo213	1	0			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xgubj4n3qb2	x8mhs8j3gkr	攏總	lung24 zung33	1	0			ime	2025-08-25 23:12:13	2025-05-16 16:54:18
xwbd23dnddh	xkx39wpnta4	糞掃塗	bung21 no55 tu53	1	0			ime	2025-08-25 23:16:22	2025-05-16 16:54:20
xu455uxjsny	xs5erp8e8zt	放節	bung53 njaik24	1	0			ime	2025-05-16 16:54:20	2025-05-16 16:54:20
xx7xu8zhcrw	x43nnnncr8f	放囇	boung213 na242	1	0			ime	2025-05-16 16:54:20	2025-05-16 16:54:20
xbkaapwgps8	xbyxqa5jqsb	放假	bung53 a213	1	0			ime	2025-05-16 16:54:20	2025-05-16 16:54:20
xvzwa3nwtvb	x96w9wd5mv4	腹老空去	buk24 lo33 keoyng55 o0	1	0			ime	2025-05-16 16:54:20	2025-05-16 16:54:20
x8u32jxyeqa	xtkf68x9n4e	房間	bung55 ngang55	1	0			ime	2025-05-16 16:54:20	2025-05-16 16:54:20
xgmwvy7vygp	xafhe23wd9q	房頭大	bung33 nau53 duai242	1	0			ime	2025-05-16 16:54:20	2025-05-16 16:54:20
xvkn8krr94y	xf23gumkfdg	抔	bouk24	0	1			ime	2025-08-18 23:05:50	2025-05-16 16:54:20
xpd6y27sw36	xt38nvwadj6	房	bung53	0	1			ime	2025-08-18 23:05:50	2025-05-16 16:54:20
xb93xd2cpp7	x43nnnncr8f	放囇	boung213 la242	1	1			ime	2025-08-18 23:05:50	2025-05-16 16:54:20
xkrdwq67vhv	xas4bt2eksj	糞掃埕	bung21 no55 liang53	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xwyescprjsq	x3pqy8quw6x	糞空	bung55 keoyng55	1	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:20
xvxdfxv5nzq	xrjj2tdyfuv	糞坑	bung55 kang55	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xy2baxyaxh7	xwcgpsmsgh7	糞坑馬	bung21 ngang53 ma33	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xc3w2uxpwrw	x99hjhuqjm8	糞坑厝	bung21 ngang53 njuo213	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xrf76ryah2b	xnpzpxmrx2w	畚斗	bung53 nau33	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
x5qerch2hk4	xakxqumk9vg	畚箕	bung55 ngi55	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xusfxfkueag	xs5erp8e8zt	放節	bung53 zaik24	1	1			ime	2025-08-18 23:02:06	2025-05-16 16:54:20
xrmqe9agnyp	x6yvf7gd8qp	放早	bung53 za33	1	1			ime	2025-08-18 23:02:06	2025-05-16 16:54:20
xjnfkjn7fnf	x3ghsdp43z6	放俤所	boung213 die24 neo33	1	1			ime	2025-08-18 23:02:06	2025-05-16 16:54:20
xt3jthq6whm	xrkk8qc4atc	放仂囝	boung213 nik24 gaing33	1	1			ime	2025-08-18 23:02:06	2025-05-16 16:54:20
xt3tqq37c7z	x95eavbkdgb	放子	bung53 zi33	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xna893jn2aw	xsu3eq78auw	房頭	bung55 tau53	1	0			ime	2025-08-23 21:29:42	2025-05-16 16:54:21
xzezcj3p48n	xjhahk9caxq	放帖	bung53 taik24	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xx83bs3fmb3	xmmfj54wvp3	放錢紙	bung53 zieng33 zai33	1	0			ime	2025-08-23 21:28:33	2025-05-16 16:54:20
xm7bu66qa53	xvbegektwhe	放齋	bung55 nje55	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xgz4eqzzmg8	xdezqh6ygfs	放晝	bung53 nau213	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xzpc9rw5294	xbyxqa5jqsb	放假	bung53 nga213	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xcqnkayqrfy	xe6ebrn74fn	放炮仗	bung21 pau53 luong242	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xh3wpxatteu	xfg28r8qhjx	放紙鷂	bung21 zai55 iu242	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xfmrcpzn87s	xzjgdhsske3	放花	bung55 hua55	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xt2r7gach9s	xkcydsv5gpk	放銃	bung53 ceoyng213	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xd3bxrg7jvk	xrtfm3cabrh	腹老	buk24 lo33	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xyxmn4pgm3m	x59wvaq9u2b	腹老筋	buk21 lo21 gyng55	1	1			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xfkdfvwnm6f	xgkkexj5dyj	腹老尾	buk21 lo24 mui33	1	1			ime	2025-08-25 23:12:14	2025-05-16 16:54:20
xftqe4zta5b	x6adqrc9bbw	腹臍	buk21 sai53	1	1			ime	2025-08-25 23:12:14	2025-05-16 16:54:20
xyg6qzjs9ab	xpcr632pxtg	腹老疼	buk24 lo33 tiang213	1	1			ime	2025-08-25 23:12:14	2025-05-16 16:54:20
xpp5yzjv7jw	xfynxvb67v2	腹痧	buk21 sa55	1	1			ime	2025-08-25 23:12:14	2025-05-16 16:54:20
xnqxrzj4euj	xxvbd236gvj	腹老下	buk21 lo55 a242	1	1			ime	2025-08-25 23:12:14	2025-05-16 16:54:20
x6kanbttvxf	xz7rvnc56w7	腹裏	buk24 die33	1	1			ime	2025-08-18 23:02:06	2025-05-16 16:54:20
xsbew5zh9uy	x8673s452d5	腹老枵去	buk24 lo33 eu55 o0	1	1			ime	2025-08-25 23:12:14	2025-05-16 16:54:20
xuarsw67hx7	xhndtj9abq3	放錢債	bung53 zieng21 zai213	1	0			ime	2025-08-23 21:28:20	2025-05-16 16:54:20
xuf4fuumwjj	xe3yxwh578a	腹老楻	buk21 lo21 kuong53	1	1			ime	2025-08-25 23:12:14	2025-05-16 16:54:20
x5yw6s9gcp2	xcgg9dac6k7	不負	buk55 hou242	1	1			ime	2025-08-18 23:02:06	2025-05-16 16:54:20
x7bm5qs2h6y	xvhp4227wqq	不*律*	buk55 luk5	1	1			ime	2025-08-18 23:02:06	2025-05-16 16:54:20
xc9qp2ghy2x	x3kha6vtan3	不過	buk55 guo213	1	1			ime	2025-08-18 23:02:06	2025-05-16 16:54:20
xkpp8qdm4zm	xw2expw35pj	不見天	buk21 gieng55 tieng55	1	1			ime	2025-08-25 23:12:14	2025-05-16 16:54:20
xmj7uw9spwy	xg6dhr9hub5	不興	buk21 hing55	1	1			ime	2025-08-25 23:12:14	2025-05-16 16:54:20
xacqaqra3t5	xztjsrzhzqg	不遂	buk21 sui242	1	1			ime	2025-08-18 23:02:06	2025-05-16 16:54:20
xs5z3b6a8k6	xsvkgygjbve	卜僮	bouk55 deoyng53	1	1			ime	2025-08-25 23:12:14	2025-05-16 16:54:20
x5gtxfw9ttz	xtkf68x9n4e	房間	bung55 gang55	1	1			ime	2025-08-18 23:02:06	2025-05-16 16:54:20
xvcv7w833vf	x8s9yp8e6uy	房裏	bung33 nie33	1	1			ime	2025-08-25 23:12:14	2025-05-16 16:54:20
x9ca54bwmns	x98a22fmfsk	放生	bung55 neing55	1	1			ime	2025-08-25 23:16:22	2025-05-16 16:54:20
x429wvvq5u4	x2pcff55m7s	房頭嫩	bung55 tau53 nooung242	1	0			ime	2025-08-23 21:30:10	2025-05-16 16:54:21
xu9r66zn6mq	xas4bt2eksj	糞掃埕	bung21 no55 diang53	1	0			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xejmwjr2qgx	xntdxa6g7gk	糞坑	bung55 koung55	1	1			ime	2025-08-25 23:12:14	2025-05-16 16:54:20
xeswysrqhad	xhp4vrn6p27	卜卦	bouk55 gua213	1	1			ime	2025-08-25 23:16:21	2025-05-16 16:54:20
xewpwgesxu2	xaksj7cqp8j	畚	boung213	0	1			ime	2025-08-18 23:05:49	2025-05-16 16:54:20
xjghbsw9bkg	x5nmcecurcd	放暝	bung55 mang53	1	1			ime	2025-08-25 23:16:22	2025-05-16 16:54:20
x6ke3ymajsw	xhp9wccurky	放心	bung55 ning55	1	1			ime	2025-08-25 23:16:22	2025-05-16 16:54:20
xc3p5zkkc4g	xck27476y6d	腹腸	buk21 doung53	1	1			ime	2025-08-25 23:16:22	2025-05-16 16:54:20
xyd9b6eqrdu	xr9jba8cufr	腹老裏	buk21 lo24 lie33	1	1			ime	2025-08-25 23:16:22	2025-05-16 16:54:20
xv2hukxzdt7	xrzcahhwh7c	不宗	buk21 zung55	1	1			ime	2025-08-25 23:16:22	2025-05-16 16:54:20
xmgntvmuwwn	xafhe23wd9q	房頭大	bung33 nau53 luai242	1	1			ime	2025-08-25 23:16:22	2025-05-16 16:54:21
xyzwttp3tq9	xhndtj9abq3	放錢債	bung53 njieng21 njai213	1	1			ime	2025-08-23 21:28:20	2025-05-16 16:54:20
xnf3k24nuyn	xmmfj54wvp3	放錢紙	bung53 njieng33 njai33	1	1			ime	2025-08-23 21:28:33	2025-05-16 16:54:20
xnkr27ychp6	xsu3eq78auw	房頭	bung55 nau53	1	1			ime	2025-08-23 21:29:42	2025-05-16 16:54:21
xvyqd8eb3jp	x2pcff55m7s	房頭嫩	bung55 nau53 nooung242	1	1			ime	2025-08-23 21:30:10	2025-05-16 16:54:21
xpykpbptthc	xwcgpsmsgh7	糞坑馬	bung21 kang53 ma33	1	0			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xjstnn3epgn	x99hjhuqjm8	糞坑厝	bung21 kang53 cuo213	1	0			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
x2d45z7gtxa	xnpzpxmrx2w	畚斗	bung53 dau33	1	0			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xhykyzb3r24	xakxqumk9vg	畚箕	bung55 gi55	1	0			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xbngahmn92y	xvbegektwhe	放齋	bung55 ze55	1	0			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xp33ajxmgda	xdezqh6ygfs	放晝	bung53 dau213	1	0			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
x5xcf8w4brw	xbyxqa5jqsb	放假	bung53 ga213	1	0			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xg92hudjnuk	xe6ebrn74fn	放炮仗	bung21 pau53 tuong242	1	0			ime	2025-08-25 23:12:13	2025-05-16 16:54:20
xb9kkgdj3bn	x8673s452d5	腹老枵去	buk24 lo33 eu55 ko0	1	0			ime	2025-08-25 23:12:14	2025-05-16 16:54:20
xf5qf62hr3v	x8s9yp8e6uy	房裏	bung33 die33	1	0			ime	2025-08-25 23:12:14	2025-05-16 16:54:20
xadgzrfmgyn	xrennzp9rsa	房桶	bung33 neoyng33	1	1			ime	2025-08-25 23:12:14	2025-05-16 16:54:20
xve3qqj9vk5	xdkca8p3axc	房下	bung21 a242	1	0			ime	2025-08-25 23:12:14	2025-05-16 16:54:20
x4mt7e3negz	xhp9wccurky	放心	bung55 sing55	1	0			ime	2025-08-25 23:16:22	2025-05-16 16:54:20
xsqvqn9a2yx	xr9jba8cufr	腹老裏	buk21 lo24 die33	1	0			ime	2025-08-25 23:16:22	2025-05-16 16:54:20
xztzupnxuvb	xafhe23wd9q	房頭大	bung33 tau53 duai242	1	0			ime	2025-08-25 23:16:22	2025-05-16 16:54:20
xvj8rkj6k5n	xznazf5huwz	㖹火筒	bung21 ngui21 deoyng53	1	0			ime	2025-05-16 16:54:21	2025-05-16 16:54:21
xu2hyeprskh	xznazf5huwz	㖹火筒	bung21 ui21 deoyng53	1	0			ime	2025-05-16 16:54:21	2025-05-16 16:54:21
xmn4g49kzms	xbam797u64y	君子	gung53 njy33	1	0			ime	2025-05-16 16:54:21	2025-05-16 16:54:21
x8ajshws3mu	xzn5rncv4sv	㖹筒	bung33 deoyng53	1	1			ime	2025-08-25 23:12:14	2025-05-16 16:54:21
x2qq8q54ta6	xyqh94rd4ju	僕	buk5	0	1			ime	2025-08-18 23:02:06	2025-05-16 16:54:21
xe7mb9bjjcw	xbam797u64y	君子	gung53 zy33	1	1			ime	2025-08-18 23:02:06	2025-05-16 16:54:21
x9mue9h7nwk	xsgpsd9kmm6	𨑪	gung55	0	1			ime	2025-08-18 23:02:06	2025-05-16 16:54:21
xkfm93x75az	xvtx9vy8g9c	䲲	gung55	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xrm5yqmrc6r	xtgjdhrd9g9	桾	gung55	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xp9th3w7fsj	xxrptens632	滾	gung33	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xt4x3s8u2h7	xj7ghxntcu6	袞	gung33	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xvkzx4acku2	xt5xxacpcv5	磙	gung33	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
x9xh6rctsqt	xgp5pwde7cm	㨰	gung33	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xwcwkd2fb3p	xceqwjp74qn	䜇	gung33	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xekfzadmet5	xphc5djns5d	蓘	gung33	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xea3ax76drv	x7vzuew5max	輥	gung33	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xpz5nv89qpu	xam7xkhtcd8	緄	gung33	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xqvqyutnht4	xub89rrkxf3	鯀	gung33	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xextbaxj3n6	xyzsyq424ht	鮌	gung33	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xhwyme72cux	xb483efc6gf	裷	gung33	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
x4ptf23m39y	xtbh68b3vgv	栱	gung33	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xpdq74jwmsy	xpsuut58vrf	棍	goung213	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xwtv62nudcf	xrp7uncq2wc	貢	goung213	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xnvmyavdnca	xh3ycn3uvm4	愩	goung213	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xnn6xwzywc3	xjrfdtpqu4t	汞	goung213	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xr2da7b42nq	x7pn3s7tqdn	羾	goung213	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xyr8jak5zwk	xe89bsyshwu	贛	goung213	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xn8sx6ae96k	xnyukf3u4n6	灨	goung213	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
x7pcabvbba5	x3ph6uzund9	谷	gouk24	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xfcat4ywmqu	x7awd2jk268	穀	gouk24	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
x4qncn6kpax	xx43a7xracr	唂	gouk24	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xdgexq9ajfx	x847dma8kxe	梏	gouk24	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xf5qq67t83t	xqu796dn95z	牿	gouk24	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:21
xjtn3uytvvc	xyvu4c2j7sr	酷	gouk24	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:22
xbpf3b62az8	xfp8wpqruag	悎	gouk24	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:22
xb8x5mk7s87	x2y3728w68k	焅	gouk24	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:22
xjznedmmcnq	xkxg6uprgvu	嚳	gouk24	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:22
xcn4rmjsdmf	xd7guanjhgg	䶜	gouk24	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:22
x5jmbqvvt5n	xgmcjw8n7gb	榖	gouk24	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:22
xgrx7dgv5bb	xnu9re98ykn	轂	gouk24	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:22
xez47wphjcm	xq57gyvxj77	蠖	gouk24	0	1			ime	2025-08-18 23:02:07	2025-05-16 16:54:22
xjem22w6c5m	x8r57z6mvdr	𥆌	gouk24	0	1	见冯书		feng	2025-08-18 23:02:07	2025-05-16 16:54:22
