id	word__id	word__text	order	lexical_category	content	comment	sentences	source_tags	updated_time	created_time
x88ppb6gbke	x87bxn5femv	鼎邊糊攤	1	n	賣「鼎邊糊」的路邊小攤或小店			community contributor	2026-04-12 14:56:10	2026-04-12 14:56:10
xxmvw2dy6z5	xwe7bp4h9b4	硬尾	1	n	（田螺、螺螄）堅硬的尾部。食用時，必須用鉗子等工具剪掉，才能吸出螺肉來			community contributor	2026-04-12 15:18:08	2026-04-12 14:10:11
x6cjdy6yxah	xxq3j3n8jyv	冇尾	1	n	（田螺、螺螄）較脆的尾部。一咬就斷，不用鉗子剪	也說「脆尾」		community contributor	2026-04-12 15:18:45	2026-04-12 14:08:02
xcqyhcx4cr2	xqjbbhwqe8u	脆尾	1	n	田螺、螺螄的尾部較脆，一咬就斷，不用鉗子剪	也說：冇尾		community contributor	2026-04-12 14:05:38	2026-04-12 14:05:18
xd7g4r3evqh	x6dsbq3nspq	蜀時蜀式	1		形容一個人想一出是一出，腦子裡沒有長遠規劃，行為很隨意	也說「蜀𣆯蜀式」		community contributor	2026-04-12 16:23:33	2026-04-12 13:52:45
xgebj3x587q	xba4kwm2f94	蜀𣆯蜀式	1		形容一個人想一出是一出，腦子裡沒有長遠規劃，行為很隨意	也說「蜀時蜀式」		community contributor	2026-04-12 15:14:31	2026-04-12 13:43:57
xp6g5gjbzmv	xxggnwjcvv5	哈	100	n	姓	〔明〕《重刊詳校篇海·口部》萬曆卅六年刻本：「又上呼馬切，夷姓。」《字彙·口部》萬曆卌三年刻本：「呼馬切。［……］上聲，夷姓。」〔明〕顧起元《客座贅語·僻姓》萬曆卌六年刻本有哈勳。	"[""～銘（明代人物）""]"	community contributor	2026-04-12 06:42:29	2026-04-12 02:15:08
xe2ya5257g3	xxggnwjcvv5	哈	200		在翻譯梵文書籍時，用來對譯「遏哇」連讀的發音	〔明〕《正字通》：「禡韻鰕上聲 ，［⋯⋯］梵書哈讀遏哇翻。」		community contributor	2026-04-12 06:50:06	2026-04-12 06:50:06
xwv93xympu7	xp3krm8tq8h	哈	10	v	張口舒氣	《榕腔註音詞典》（1929）第796頁「哼哈二將」條讀此音	"[""哼～二將""]"	community contributor	2026-04-12 16:32:14	2026-04-12 02:05:33
x523jufdntu	xp3krm8tq8h	哈	20	v	〈書〉微微地彎（腰）	亦作「呵」	"[""點頭～腰""]"	community contributor	2026-04-12 06:01:50	2026-04-12 02:05:33
xmrscxqa6s3	xp3krm8tq8h	哈	100	int	表驚喜、得意			community contributor	2026-04-12 16:32:31	2026-04-12 02:05:33
xtjsdagmwdj	xp3krm8tq8h	哈	101	on	笑聲。多疊字使用		"[""〔宋〕道原《景德傳燈錄》：「黄檗～～大笑。」"", ""～～笑"", ""～～～大笑""]"	community contributor	2026-04-12 06:01:50	2026-04-12 02:05:33
xas55cu6q69	xpsprvx2s9s	送行	1		同普通話「送行」			community contributor|陈泽平. 福州方言研究[M]. 福建人民出版社, 1998: 15.	2026-04-11 22:40:51	2026-04-11 22:40:51
xw2gcesx59q	xvd3v56s2rq	過膠	1		同「過塑」			community contributor	2026-04-11 22:36:22	2026-04-11 22:36:22
xvq8vmt3c3s	xygwbvghejj	壺井環洲	1		長樂特色龍舟賽制。二龍分立於壺井港中的沙洲兩端，以鑼爲號，互相環洲追逐，以觸及前龍尾舵為勝			community contributor	2026-04-11 22:34:00	2026-04-11 22:34:00
xya7nhfd2fy	xpyp229sg57	納嘻犬	1	n	表情像在笑的狗。也指這種笑容			community contributor	2026-04-11 22:29:48	2026-04-11 22:29:48
xcjhfhync82	xpyp229sg57	納嘻犬	2		◇詈語，罵笑裏藏奸的壞人			community contributor	2026-04-11 22:29:48	2026-04-11 22:29:48
x4dm4s56mrd	xt5wvgwdzse	做契弟	10		不好了，完蛋了，糟糕了。	同義詞為「做嘰*嘰*弟」（zo21 gi21 i53 lie242），口語中常說	"[""仱～（這下完毬了）。""]"	community contributor	2026-04-10 14:21:06	2026-04-10 14:21:06
x2nqtk6zgc4	x4dp4fdq35x	儥驚死	1		不怕死，不畏死	◇喻指膽子大	"[""膽野大，～""]"	community contributor	2026-04-08 19:03:39	2026-04-08 19:03:39
xqgdd9ghkq6	xqyxprda2sm	伓驚死	1		不怕死，不畏死	◇喻指膽量大	"[""膽野大，～""]"	community contributor	2026-04-08 18:56:12	2026-04-08 18:56:12
x89nzmmczrg	xpjhbqj3nz2	有膽	1		動賓短語，有膽子，有膽量			community contributor	2026-04-07 23:22:30	2026-04-07 23:22:30
x2dfp9free2	xpjhbqj3nz2	有膽	2	adv	◇敢於做（某事）		"[""～講者（這）話"", ""～做者（這）事""]"	community contributor|community contributor	2026-04-07 23:22:30	2026-04-07 23:22:30
xvbkqcdz5q9	xf668gz7uu6	做社把	1		動賓短語，指從事對境廟內「地頭神」（主神）的拜祭活動。	社把，名詞，係境廟下的各種香會組織		community contributor	2026-03-26 23:31:48	2026-03-26 23:30:44
x28kvzjwtvt	xh3v2nq2zem	糞掃衣	1	n	佛教僧侶將世俗丟棄的廢舊破布撿拾、洗淨後，拼湊縫綴而成的袈裟。	《摩訶僧祇律》卷第十六：「里巷中棄弊故衣，取浄浣補染受持，是名糞掃衣。」（《大正大藏經》第二十二卷，第357頁a。）「糞掃」譯自梵語「pāṃsu」（污穢、廢棄物）。		community contributor|松村薫子. 糞掃衣の変遷[J]. アジア新時代の南アジアにおける日本像: インド・SAARC諸国における日本研究の現状と必要性, 2011: 23-35.	2026-03-26 23:21:00	2026-03-26 23:21:00
xcbbg9rchd8	xm5rfwnx26a	垃圾	1	n	同普通話「垃圾」。	新詞，口語不說。	"[""陳潔《垃圾分類七字歌》：「保護環境野（很）迫切，～分類着（要）關切。紅黃藍綠四隻（個）桶，各種～去各桶。［……］易腐～廮（放）綠桶。［……］其他～廮黃桶，大件～先分解。～分類神框攏（要關注要記牢）！」"", ""賴董芳《垃圾分類大家唱》：「～分類非小事吓（啊）！——是吓，是吓，非小事吓！」""]"	community contributor	2026-03-26 22:35:44	2026-03-26 22:35:44
xay7bkrk9fg	xdpvwevsyxy	裨*	1	n	片狀物		"[""菜～（菜葉片）""]"	community contributor	2026-03-25 23:06:16	2026-03-25 23:06:16
x3z6xwc3dzc	xsgy6ezdjyj	弰*	1	adj	說話尖酸刻薄			community contributor	2026-03-25 22:30:23	2026-03-25 22:30:23
x9gerpchst4	xr729r4t3eh	弰	1	n	〈書〉指弓的末端	可泛指整張弓		community contributor	2026-03-25 22:28:58	2026-03-25 22:28:58
x2t9fe7dszf	xnabs5nmc3v	閩中	1	n	福州的別稱。		"[""《道山亭記》：「福州治侯官，於閩爲土中，所謂～也。」""]"	community contributor	2026-03-23 00:25:19	2026-03-23 00:25:19
xsj3tmwzhzy	x6azfsvhptj	迎神繞境	1		見「迎神」「繞境」兩條目。			community contributor	2026-03-22 20:52:58	2026-03-22 20:52:58
xm3fetwhjbp	xr2rvz6z7pw	境份	1	n	福州民間最基本的信仰地理單元。	單字稱之「境」。在福州境、社體系下，每個境的廟宇稱為「大王宮」，所祀的神是「大王爺」，為境內的主宰神。每個境廟下又有各種香會組織，稱為「社把」（社）。		community contributor|中國人民政治協商會議福建省福州市委員會文史資料工作組. 福州地方誌 (簡編): 下冊[M]. 福州: 中國人民政治協商會議福建省福州市委員會文史資料工作組, 1979: 97.	2026-03-22 20:21:15	2026-03-22 20:21:15
xeqkggyvaq9	xbe6nscwwqs	社把	1	n	在福州境、社體系中，每個境廟下的各種香會組織	單字稱之「社」	"[""做～。""]"	community contributor	2026-03-23 00:01:46	2026-03-22 20:19:08
xnfhu87ypcp	xpb5uqfjc9m	猴聖王	1	n	孫悟空	口語也說「猴中王」（gau21 lyng55 uong53）		community contributor|community contributor	2026-03-22 20:09:59	2026-03-22 20:09:59
xccua47nswu	xqbyrvx62yz	孫悟空	1	n	〈書〉孫悟空。	口語少說，多見於戲曲、評話。口語多說「猴聖王」（gau21 ling55 uong53）、「猴中王」（gau21 lyng55 uong53）。		community contributor|community contributor	2026-03-22 20:03:04	2026-03-22 20:03:04
x9g95t8dj44	xusjbgfec7n	拍鼓板	1		動賓短語，打鼓板（打擊樂器）			community contributor	2026-03-22 19:17:23	2026-03-22 19:17:23
x6d254azjvc	xusjbgfec7n	拍鼓板	2	n	泛指打擊樂器，如大鑼、箭鼓、廊帳、大鈸、小鈸、小鑼、鑼子等			community contributor|陈琳. 剪纸、绘画、打鼓板……这个藏在侨乡的神秘村落好热闹！[EB/OL]. (2024-04-03)[2026-03-22]. https://www.fzcl.gov.cn/xjwz/zjcl/m	2026-03-22 19:17:23	2026-03-22 19:17:23
xf9bub9zjtq	xx2pm63cs94	擺娘奶	1		在「元宵擺暝」期間，祭奉臨水陳夫人（信者尊稱「娘奶」）。各境社於專屬的夜晚舉行。			community contributor	2026-03-22 18:55:00	2026-03-22 18:55:00
xhbymfd66h9	xqqacqcw362	擺奶	1		動賓短語，同「擺娘奶」。			community contributor	2026-03-22 18:51:28	2026-03-22 18:51:28
xcvyzw7pywm	xrrgyag9ntz	社境	1	n	同「境社」			community contributor|羅桂林. 中國近代城市轉型的「草根」之路——以福州境社傳統的演進為中心[M]//李孝悌, 陳學然. 海客瀛洲：傳統中國沿海城市與近代東亞海上世界. 上海古籍出版社, 2017.	2026-03-22 20:22:30	2026-03-22 18:48:36
xcvfuga5cmg	xbz3rwfs5d8	墨魚乾	1	n	墨魚乾。	表示墨魚乾，福州話也說「墨魚」。不同於「冬鮭」（新鮮的墨魚、烏賊）。		community contributor	2026-03-22 19:33:25	2026-03-22 18:37:30
xrhdh2zxy23	xxnz6v6g3xd	境社	1	n	「境份」（境）與「社把」（社）的合稱。福州民俗行事，多以境社、宗祠爲中心舉行。	近代以來，在既有的境社傳統之上，又衍生出「商事研究所」和「救火會」等新式社區性公益組織：前者積極參與地方政治，維護社區利益；後者興辦消防事業，成為近代福州主要的消防力量。		community contributor|羅桂林. 中國近代城市轉型的「草根」之路——以福州境社傳統的演進為中心[M]//李孝悌, 陳學然. 海客瀛洲：傳統中國沿海城市與近代東亞海上世界. 上海古籍出版社, 2017.	2026-03-22 18:19:49	2026-03-22 17:17:06
xu3a35y3vh3	xfzhf8sjy5g	元宵擺暝	1		見「擺暝」條。	因爲係於春節過後至元宵節期間的活動，故冠「元宵」二字。		community contributor	2026-03-22 18:45:13	2026-03-22 16:33:17
xmx7ska7nhk	xbnkgw8musx	擺暝	1		儀式名，酬神活動。不同地方的廟宇或祀神，排在不同專屬的夜晚舉行。係長樂、馬祖、閩侯、閩清、羅源等地，春節過後至元宵節期間重視的核心活動。	「擺」即陳列、擺放，「暝」即夜晚。擺暝，字面意思即排夜。		community contributor|賀廣義. 島嶼•群落•元宵祭[N]. 馬祖日報. 2005-03-04.	2026-03-22 18:44:43	2026-03-22 16:30:26
xdtp4ph4r7h	xw4xeeqt6fd	壬	1	n	天干的第九位。			community contributor	2026-03-22 16:13:12	2026-03-22 16:13:12
xzkzsggs5b3	xw4xeeqt6fd	壬	100	n	姓。			community contributor	2026-03-22 16:13:12	2026-03-22 16:13:12
xqjvhkj2m2y	x78udv4sfqn	吁	1	int	〈書〉表示驚嘆，疑怪。	《玉篇·口部》：「吁，疑怪之辭，驚語也。」《八音》林書「吁」字條：「嗟吁。」	"[""《文選·張衡·東京賦》：「吁！漢帝之德，侯其褘而。」""]"	community contributor|李如龍. 戚林八音校注[M]. 福州: 福建人民出版社, 2001.|教育部. 教育部重編國語辭典修訂本: 臺灣學術網路第五版[DB]. 2015.	2026-03-22 15:12:48	2026-03-22 15:07:12
xf9seqcf3km	x78udv4sfqn	吁	10	v	〈書〉太息，嘆息，呼出長氣，以舒散心中的煩悶和悲傷。	表示嘆氣的，口語有說「嘆」（tang21），例如「嘆蜀（一）聲氣」。	"[""長～短嘆。"", ""〔唐〕李白《古風》詩五九首之五六：「獻君君按劍，懷寶空長～。」"", ""〔宋〕劉宰《野犬行》：「過者且勿嘆，聞者且莫～。」""]"	community contributor	2026-03-22 15:07:12	2026-03-22 15:07:12
xq3z2rkm5q5	x78udv4sfqn	吁	100	adj	〈書〉憂愁。	口語說「愁」（ceu53）、「苦」（ku33）。	"[""《詩經·周南·卷耳》：「我僕痡矣，云何～矣。」""]"	community contributor	2026-03-22 15:13:59	2026-03-22 15:07:12
xezbqg24jaa	xv6jgsnm7q5	摭	1	v	拾起，摘取，拿取。收聚。		"[""～拾（zia55 sik5，拾取收集、收拾）。""]"	community contributor	2026-03-24 14:21:58	2026-03-21 16:57:46
xfukwv4retz	xy6xpqmjtt8	帝君江	1	n	江名，橫龍江的支流。在義序（外嶼）。因本處義山（外山）南麓曾有文昌帝君廟而得名。	公元1958年義序公社化時，將「君」誤記爲聲母類化後同音的「封」字，遂有「帝封江」之寫法。今有南宋末年閩人護衛宋少帝而封鎖江面的傳說，或爲附會「帝封江」之寫法而來。橫龍江，又作「橫龍港」，係閩江南港——烏龍江的支流。		community contributor|林耀华. 仁丰义序[M].|林山. 话说“帝君港”[N]. 福州晚报, 2022-04-17(A06).	2026-03-22 14:08:03	2026-02-28 22:08:53
xk226auetzh	x6gwzfkafn3	帝君	1	n	對道教神祇的一種尊稱			community contributor	2026-03-22 13:51:50	2026-02-28 21:56:38
xc79c4y2ew6	xu3aewvebfj	風蚊池	1	n	地名，在今福州鼓樓區西洪路與工業路交叉路口一帶。據傳，因過去此處爲郊野池塘，蚊蟲孳孽，故名。			community contributor|林莹. 拈朵微笑的花——福州那些美丽的地名（上）[N]. 福州晚报, 2025-07-26(A06).	2026-03-22 14:18:34	2026-02-28 21:52:31
xpb8xc7fjev	xqyzg9ch3cr	野猴	1	adj	該詞多指頑皮不聽話的行爲，即像野猴子一樣頑皮不老實。		"[""這隻伲囝哥～，野賤，乇拋拉遘滿世都是（這個小孩子像猴子一樣，很好動，東西扔得到處都是）。""]"	community contributor	2026-02-21 16:33:08	2026-02-21 16:32:00
x343hyr63k2	xbhf6rh4fpq	原復	1	v	恢復原狀。		"[""乇做滿世，仱汝乞我乇做～起去。（東西弄的到處都是，現時你給我東西恢復原狀。）""]"	community contributor	2026-02-21 16:16:39	2026-02-21 16:16:39
xdqwzugdjbp	xpgj4vucqjs	裏外	1	n	裏外，裏裏外外		"[""伊這蜀主～都盡逼（這一家人裏外都很貧困）""]"	community contributor	2026-02-21 15:48:38	2026-02-21 15:48:38
xgd5kaecrzh	xnwhfnggg39	老鼠母	1	n	一種閩式年糖年餅，味甜。	可能是形狀類似於甜品「老鼠囝」且稍大而得名。此爲尚幹七里一帶的說法，城裏叫「麻芝」		community contributor	2026-02-10 12:13:39	2026-02-10 12:13:39
xj4ub9s66t9	xnwhfnggg39	老鼠母	1	n	大老鼠			community contributor	2026-02-10 12:13:39	2026-02-10 12:13:39
x7nyww63gdd	xnwhfnggg39	老鼠母	1	n	母老鼠			community contributor	2026-02-10 12:13:39	2026-02-10 12:13:39
xb64h2j4ntx	xhez87jnhf2	洋*䱝	1	n	一種小蛤蟆			community contributor	2026-02-10 12:02:04	2026-02-10 12:02:04
xcdwsq5zx7z	xf26mx3tkj8	罷*	1		不成詞語素，指父親，見「郎罷*」「罷*奶」			community contributor	2026-02-09 22:29:23	2026-02-09 22:26:23
x6mnccq33z5	xanvw33deyj	番伬	1	n	福州曲藝「十番」「伬唱」的統稱		"[""我就是中意福州其番伬（我就是喜歡福州的番伬）。""]"	community contributor	2026-01-31 13:12:03	2026-01-31 13:12:03
xf9x6vgywg6	x2vr9dmhwn5	品質	1	adj	產品或品德的優劣程度、標準、等級。		"[""者乇～蔣其？（此物品質如何？）""]"	community contributor	2026-03-22 14:36:07	2026-01-11 21:27:04
xs2ped6kup5	xvtw7fyt9au	澄清	1	v	澄清		"[""舊底水着～澄囇才會食其（過去水要澄清一下才可以喝的）。""]"	community contributor	2026-01-01 11:58:16	2026-01-01 11:58:16
xrx4z2qmdej	x66pquum4ea	澄底	1		沉底		"[""好乇～。（好物沉底，喻東西都在後面）""]"	community contributor	2026-01-01 12:12:28	2026-01-01 11:54:09
xmudds82smh	xfrpajxjbkv	日日工	1	adv	天天		"[""伊爛喙角去，醫生吼伊～都着食水鴨母（他嘴角爛了，醫生叫他天天都要喫水鴨母）。""]"	community contributor	2026-01-01 11:40:55	2026-01-01 11:40:55
x9fkk4y4g5u	xwuqkctcm7g	舊*	1		不成詞語素，指女陰，見“舊*舊*”			community contributor	2025-12-30 22:20:47	2025-12-30 22:20:47
x5u8xeue2ar	xk8cppukfbv	閩都	1	n	福州的別稱。			community contributor	2025-12-27 00:38:31	2025-12-27 00:17:25
x7ky38kf88s	xby4v48cx6q	㞞	1		不成詞語素，用在“魚㞞”中，指代魚白（魚製造並儲存精液的器官）			community contributor	2025-12-26 22:17:40	2025-12-26 22:17:40
x8d9gy4uy9x	x33bqsaa8p9	泡湯	1		動賓短語，泡溫泉	「湯」即書語所言溫泉	"[""～，莫急。（泡溫泉，不能急。）""]"	community contributor	2025-12-26 23:32:37	2025-12-26 21:29:17
xzndqqqs62s	xfvrwjb3djh	工具	1	n	同普通話「工具」。	口語也可以說「家私」（ga55 li55）。		community contributor	2025-11-20 19:10:49	2025-11-20 19:10:34
xje4h9jyu5g	xdemrswuymr	做痞	1		動賓短語，胡來，搗鬼			community contributor	2025-11-16 16:40:00	2025-11-16 16:40:00
x2pnfytsnqp	xcuaxysvp4q	同事	1	n	同普通話「同事」。		"[""小張是我～。（小張是我同事。）""]"	community contributor	2025-11-16 16:36:40	2025-11-16 16:36:06
xfeuc2hz4gj	xk3gmcykcrh	相街御史	1	n	對乞丐的戲稱。因舊時衙門斷案會以路邊乞丐口供作參考而來			community contributor	2025-11-16 16:29:12	2025-11-16 16:29:12
x35ww8wzmnr	xbrahcj8uyn	柴排厝	1	n	簡易的木結構的房子			community contributor	2025-11-16 16:25:02	2025-11-16 16:25:02
xrddz9948jy	xvmv4562byw	易會難精	1		易學難精。指有些事情上手容易，如果不下工夫則難以精通			community contributor	2025-11-16 16:21:50	2025-11-16 16:21:50
x5tbe5fa2ap	xqs9e4psm3r	熊貓	1	n	同普通話「熊貓」。			community contributor	2025-11-01 12:46:04	2025-11-01 12:46:04
xcywq3a892s	xfyq667kbhu	㑚仈順	1		只知道順利。即祈願行事順順利利，越順利越好之意。			community contributor	2025-10-30 14:12:14	2025-10-30 14:12:14
xsn6vvsqsmh	xfyq667kbhu	㑚仈順	10	n	英語姓氏「Robertson」的音譯。漢字作「喇伯順」。 1870年代至20世紀初，有同名洋行，在南臺海關埕與馬尾馬限山下各設有支店。	今留有「喇伯順」石刻，位於馬限聖教醫院老門診樓東南側下方崖壁上（林轶南. 喇伯顺洋行石刻//福州老建筑百科. 2022.）。		community contributor	2025-10-30 14:14:31	2025-10-30 14:12:14
x3p48fpdve7	xb7dj439bc4	手提	1		〈書〉（用）手（來）提。	口語說「手摜」。		community contributor	2025-10-28 21:04:26	2025-10-28 21:04:26
xsure4kjgxz	xb7dj439bc4	手提	2	n	「手提式電話機」「手提電話」的簡稱。	2000年代以來，口語說「手機」（ciu21 gi55）者逐漸變多。		community contributor	2025-10-28 21:04:26	2025-10-28 21:04:26
x84pnaph5e5	xq7nksnkmwy	講報	1		動賓短語，以評話特有的語言技巧來報導和分析世變時勢。	例如抗日戰爭期間，黄仲梅等評話藝人在講大書前，會加演「講報」半小時，以報導、分析戰局（福州市地方志编纂委员会编. 福州市志: 第七册. 北京: 方志出版社, 1999: 357.）。	"[""科題仔（黄仲梅藝名）～""]"	community contributor	2025-10-25 15:05:01	2025-10-24 22:52:27
xpxrqecbtk7	xh5253ssayg	做花	1		動賓短語，（在評話中）安排笑料。具體的做法：或在故事情節和人物性格中安插笑料；或穿插一些與故事相關的俚語、笑鬧或肢體動作；或配合使用鐃鈸、醒木等道具來敲擊節奏，烘托氣氛。	例如《雌雄玉蝙蝠》中，草莽英雄岳峰粗魯直白的點菜方式（「豬頭一隻，鵝一頭［……］肥肉十斤」），以及僕人孟孟戲謔自家少爺的七個老婆來歷不正，如此「做花」，目的是讓聽眾會心一笑甚至滿堂轟笑。		community contributor	2025-10-24 22:45:29	2025-10-24 22:45:29
xj2hskxpzt3	xrpxn954e9z	鑼鼓	1	n	鑼與鼓。泛指各種打擊樂器			community contributor	2025-10-24 22:18:42	2025-10-24 22:18:42
xthqegxbgj6	xaj2hknfwm4	逗腔	1	n	閩劇唱腔的主體。調子出自儒林班。曲體分為板腔體、曲牌體，以及前二者綜合體。旋律婉轉，情感纏綿悲惻。拖腔較多。常以「呀」（ia0）、「噯」（ai0）、「噫」（ei0）、「吓」（a0）等虛詞為襯字。句尾常有後臺幫腔（俗稱「掏嶺」）。以吹奏樂器（如嗩吶、逗管、笛）為主，拉弦和彈撥樂器為輔。《紫玉釵》《紅裙記》等為代表劇目。			community contributor	2025-10-24 22:33:31	2025-10-24 22:15:17
xj3cjzbm9w5	xypz2bwunf4	方纔	1	adv	〈書〉剛纔，適纔	口語說「頭先早」「寢*寢*」		community contributor	2025-10-24 02:54:27	2025-10-24 02:54:27
xn7h4hjhtaq	xnqyv4wrpdz	胡鬧	1	v	〈書〉同普通話「胡鬧」。	口語說「亂由做」「胡行亂做」「做死坯」。		community contributor	2025-10-24 02:57:14	2025-10-24 02:52:06
xdh2yddkfpf	xqvvmxh2gvs	繩索	1	n	〈書〉繩子	口語說「索」	"[""閩劇《畫網巾先生》（福建省實驗閩劇院，於第十四屆中國藝術節）：「我還用～綁住他們！」""]"	community contributor	2025-10-24 02:58:56	2025-10-24 02:50:07
xw7kn4x2e4v	xfk6cxd3zgp	伬館	1	n	樂館			community contributor	2025-10-23 22:14:45	2025-10-23 22:14:45
xgshxtnzs25	x3fr34qgw5e	尺	1	n	中國傳統樂譜的記音符號		"[""工～。"", ""～譜（工尺譜）。""]"	community contributor	2025-10-23 22:07:30	2025-10-23 22:07:30
xkmbkv9hru9	xycbbhrc9ur	閩腔	1	n	指福州話		"[""～快字（一種福州話書寫系統）""]"	community contributor	2025-11-07 19:48:02	2025-11-05 23:16:29
xzc92xukwue	xycbbhrc9ur	閩腔	10	n	閩劇唱腔的稱呼		"[""戲仿～十勸曲（一首閩劇唱腔的觀劇詩，出自《天遺詩集·乙未集》）""]"	community contributor	2025-11-10 16:45:57	2025-10-23 21:15:45
xh9z4z9gum7	xgafe38u4qr	榕腔	1	n	即福州話		"[""～神詩"", ""～白話文"", ""～白字詩""]"	community contributor	2025-11-07 19:59:07	2025-11-07 19:59:07
xrvvrknpeyg	xgafe38u4qr	榕腔	10	n	閩劇唱腔的稱呼		"[""《惜春齋詞話》：“閩人演唱曲本，土音曰～，正音曰囉囉。”"", ""福建教育司第三科致函警務廳：“本司第三科審查，應禁～戲曲數十種，當經先後照請貴廳嚴行禁演在案……”""]"	community contributor	2025-11-10 16:46:23	2025-10-23 21:14:59
x4swfb84b44	xr9uy4fjg4s	閩安汛	1	n	即“閩安鎮”。在馬尾亭江附近。以“閩賴其安”而得名。			community contributor	2025-10-23 20:28:08	2025-10-23 20:28:08
xrh5a4s7rea	xs87mbwdrge	五銖錢大空	1		◇指人資歷淺，地位低下，卻愛充老大			community contributor	2025-10-23 17:23:19	2025-10-23 17:23:19
xwy4u6yhxrd	xnje6ggpkpu	銀鐲	1	n	銀製的鐲子			community contributor	2025-10-23 15:23:13	2025-10-23 15:22:52
xe9uxb9x773	x9wmyv67fy2	費	1	n	姓			community contributor	2025-10-23 15:17:09	2025-10-23 15:17:09
x4r7gxuyeqy	xt3hwj8xdsu	講服	1		動補短語，說服	被說服，也可以說「聽裏去了」（聽進去了）。		community contributor	2025-10-23 15:14:18	2025-10-23 15:14:18
xyz3vxhdeb9	x6m7quz8bbw	相公	1		舊時婦女對丈夫的敬稱			community contributor	2025-10-23 00:57:14	2025-10-23 00:57:14
xskrk8d7ygc	x6m7quz8bbw	相公	2		舊時對讀書人的敬稱		"[""閩劇《畫網巾先生》（福建省實驗閩劇院，於第十四屆中國藝術節）：「～討世乇？」""]"	community contributor	2025-10-23 00:57:13	2025-10-23 00:55:25
x6f3ajd3de5	xw97bwdathu	利索	1	adj	〈書〉快，迅捷		"[""閩劇《畫網巾先生》（福建省實驗閩劇院，於第十四屆中國藝術節）：「逃得十分敏捷，跑得好不～。」""]"	community contributor	2025-10-23 00:44:59	2025-10-23 00:41:26
xabj6c2puce	xcb6dsmd9xd	金石錄	1	n	宋代金石學著作。中國現存最早的彝器、碑刻、石刻目錄和研究專著。北宋趙明誠撰，三十卷。			community contributor	2025-10-22 23:00:02	2025-10-22 23:00:02
xnkne4e7se3	x5nrwgfv6x4	三生石	1	n	中國歷史上意涵情定終身的象征物。三生石的三生分別代表前生、今生、來生。杭州天竺寺有三生石。			community contributor	2025-10-22 22:54:28	2025-10-22 22:54:28
x67qtz8dyu3	x6ausfbrb2k	石頭記	1	n	《紅樓夢》之別名			community contributor	2025-10-23 01:29:49	2025-10-22 22:50:13
x4djpn5ss8a	x8kuzkcjez9	石敢當	1	n	民間習俗，在朝着巷口或為巷陌橋道要衝的家居正門前，立一小石碑，上刻「石敢當」三字，以爲即可禁壓不祥。	《八音》林書授嬝下入：「石敢當，五代時人有勇力善克敵，故人門首立以禦然。」		community contributor	2025-10-22 22:44:30	2025-10-22 22:44:30
