id	text	expl_content	sandhi_pron	literal_pron	local_pron	locale	reference	status	updated_time	created_time
xfrmgspzp3p	去鎮	從村落上到鎮子裏。例如閩安舊爲鎮，附近村落人士前往閩安便稱爲「去鎮」：～嘛，就是講（說）去買乇（東西）嘛	ko53 deing213	koo213 deing213		fzho		1rvd	2025-06-10 02:21:37	2021-02-27 00:00:00
xtgdje9fdtr	事先	同普通話「事先」	sy55 lieng55	seoy242 sieng55			陈泽平. 福州方言研究[M]. 福建人民出版社, 1998: 15.	1rvd	2025-06-10 02:21:53	2023-11-16 00:00:00
x8a8q7rzyqs	油硣	量油的器具	iu21 gau213	iu53 gau213				1rvd	2025-06-10 02:22:10	2023-11-16 00:00:00
xbkfta4hjnq	嬸媽	父母的嬸嬸	sing24 ma33	sing33 ma33		fuqi		1rvd	2025-06-10 02:22:49	2021-03-02 00:00:00
xcyrs4afca4	包車	包下整輛車：～去長樂‖動賓結構，與表示「麪包車 mieng21 mau55 ia55」的名詞「包車 bau55 ia55」含義不同。在動賓結構中賓語也能聲母類化的地區，也讀作bau55 ia55	bau55 cia55	bau55 cia55		fzho,cgle		1rvd	2025-06-10 02:23:37	2024-03-02 00:00:00
xxkew7h6aut	小車	小轎車	siu21 ia55	siu33 cia55		cgle		1rvd	2025-06-10 02:23:52	2024-03-02 00:00:00
xuavunugzwb	做包焦	不在話下，小意思，形容很簡單	zo21 wau55 la55	zoo213 bau55 da55		fzho		1rvd	2025-06-10 02:24:05	2023-11-20 00:00:00
xbyh7s8jhus	食包焦	不在話下，小意思，形容很簡單：食汝包焦（肯定能拿下你）|萬妮達《七溜八溜WAIYA》\：「哇也，鼓山骹（腳），南門兜，我～（我如魚得水）。」	sieh21 wau55 la55	sieh5 bau55 da55		fzho,cgle		1rvd	2025-06-10 02:24:24	2023-11-20 00:00:00
xdq3yrtvtbw	蝦油硣	量蝦油的器具	ha21 iu21 gau213	ha53 iu53 gau213				1rvd	2025-06-10 02:24:45	2023-11-16 00:00:00
xj4jdctcfjh	收成	同普通話「收成」	siu55 ling53	siu55 sing53			陈泽平. 福州方言研究[M]. 福建人民出版社, 1998: 18.	1rvd	2025-06-10 02:24:57	2023-11-16 00:00:00
x4b9z36sntu	花瓶	同普通話「花瓶」	hua55 wing53	hua55 bing53			陈泽平. 福州方言研究[M]. 福建人民出版社, 1998: 18.	1rvd	2025-06-10 02:25:17	2023-11-16 00:00:00
xnq4ffxw74f	託運	同普通話「託運」	touk55 oung242	toouk24 oung242			陈泽平. 福州方言研究[M]. 福建人民出版社, 1998: 15.	1rvd	2025-06-10 02:25:30	2023-11-16 00:00:00
x94p689yequ	貼牆	貼着牆面	teik21 cuong53	taik24 cuong53			陈泽平. 福州方言研究[M]. 福建人民出版社, 1998: 15.	1rvd	2025-06-10 02:25:52	2023-11-16 00:00:00
xuusx2m6g8h	筆尖	同普通話「筆尖」	bik21 zieng55	beik24 zieng55			陈泽平. 福州方言研究[M]. 福建人民出版社, 1998: 15.	1rvd	2025-06-10 02:26:08	2023-11-16 00:00:00
xve6rkq7tqj	中彩	買彩票中獎	dyng53 cai33	deoyng213 cai33			陈泽平. 福州方言研究[M]. 福建人民出版社, 1998: 15.	1rvd	2025-06-10 02:26:20	2023-11-16 00:00:00
xtemhjtaxfh	送行	同普通話「送行」	seoyng55 ngeing53	sooyng213 heing53			陈泽平. 福州方言研究[M]. 福建人民出版社, 1998: 15.	1rvd	2025-06-10 02:27:00	2023-11-16 00:00:00
xvvrpvd9g9w	做痞	胡來，搗鬼	zo53 pai33	zoo213 pai33				1rvd	2025-06-10 02:27:21	2021-08-12 00:00:00
xhv3fpjm2fh	相街御史	對乞丐的戲稱。因舊時衙門斷案會以路邊乞丐口供作參考而來	suong55 nge55 ngy53 ly33	suong213 ge55 ngeoy242 sy33				1rvd	2025-06-10 02:30:37	2021-02-20 10:26:59
x7n2r2xctmq	易會難精	易學難精。指有些事情上手容易，如果不下工夫則難以精通	gie53 a242 nang55 zing55	gie242 a242 nang53 zing55				1rvd	2025-06-10 02:30:47	2021-02-20 10:40:31
x2wtwgwbj38	半母角	半男女，雙性人。常作詈語，形容舉止或裝束女性化的男性	buang21 mo55 ooyk24	buang213 mo33 gooyk24				1rvd	2025-06-10 02:31:00	2021-02-20 00:00:00
x87kzhxwtjg	過膠	同「過塑」	guo55 ga55	guo213 ga55		liji		1rvd	2025-06-10 02:31:28	2021-02-15 00:00:00
xvpfc6txjgg	麪包車	同普通話「麪包車」	mieng21 mau55 ia55	mieng242 bau55 cia55		fzho			2025-05-16 17:05:43	2024-03-02 00:00:00
xcwxuu9cm2x	南街	路名，在福州鼓楼。	nang55 nge55	nang53 ge55					2025-05-16 17:05:43	2024-11-17 13:00:46
xc4x6q2x6vg	八一七北路	路名，在福州鼓楼。	beik21 ik55 ceik24 beoyk55 duo242	baik24 eik24 ceik24 booyk24 duo242					2025-05-16 17:05:43	2024-11-17 13:00:17
x6vxa4mm4c5	古田路	路名，在福州鼓楼。	ku53 jeing21 nuo242	ku55 ceing53 duo242					2025-05-16 17:05:43	2024-11-17 12:59:31
xv8c7zrvjeu	廣達路	路名，在福州鼓楼。	guong33 nak21 duo242	guong33 dak5 duo242					2025-05-16 17:05:43	2024-11-17 12:58:50
xtvkj8nemum	洋頭口	地名，在福州臺江。	yong33 nau33 au33	yong53 tau53 kau33					2025-05-16 17:05:43	2024-11-16 11:56:35
xtt6we73hga	吉祥山	地名，在福州臺江。	gik24 suong33 nang55	geik24 suong53 sang55					2025-05-16 17:05:43	2024-11-16 11:56:04
xxwzvf8ra58	達道	地名，在福州臺江。	dak21 doo242	dak5 doo242					2025-05-16 17:05:43	2024-11-16 11:54:48
xgd3ct9cjjv	三叉街	地名，在福州倉山。下藤路、埔頭路、埔尾路三條路交叉於此，且往南前往白湖亭的路段店鋪密集，後被當地居民習慣性稱為「三叉街」。	sang21 nja55 e55	sang55 ca55 ge55					2025-05-16 17:05:43	2024-11-16 00:48:33
xy7cx76nbt9	白湖亭	地名，在福州倉山。在古代時該地曾有一湖，名為「白湖」，明朝時期，人們在白湖邊修築一棟亭子並取名「白湖亭」，隨後白湖亭便成為該地地名並沿用至今。	bah33 u33 ling53	bah5 hu53 ding53					2025-05-16 17:05:43	2024-11-16 00:43:39
x4jcj9m72wm	涵义	涵义	涵义						2025-05-16 17:05:43	2023-12-22 22:25:02
xcvmwnyrws8	犬尾蒂	像刚出生狗尾巴的头发辫	keing21 mui24 dei213	keing21 mui24 dei213					2025-05-16 17:05:43	2023-11-18 16:07:40
x5y8ane2p2e	通气	通了	Tong kei						2025-05-16 17:05:43	2023-09-10 18:47:09
xj9qvj7a4k8	有虬	钻牛角尖	iu3 khiu2	iu3 khiu2					2025-05-16 17:05:43	2023-08-22 14:56:46
xq7c7kd7r6y	𠚺	脏话，指性交	sa213	sa213	无				2025-05-16 17:05:43	2023-08-19 14:23:51
x8fzrcxdsys	𠚺	脏话 ，指	sa213	sa213	无				2025-05-16 17:05:43	2023-08-19 14:22:33
xgr8fs2brev	中学	中等教育机构	dyng55 ouk5	dyng55 houk5					2025-05-16 17:05:43	2023-07-01 16:44:31
xmqhpc86ne3	歞犬	"詈词，傻狗，喻指愚蠢的人
一般直接形容人
例：你看者嚽是一歞犬。"	ngooung53 keing33	ngooung242 keing33			多本词典均未收录		2025-05-16 17:05:43	2023-02-16 22:12:36
xg9p6ctgv5h	楌	楌	楌						2025-05-16 17:05:43	2023-01-28 01:18:14
xexj8yuwcjt	小區	小区	xiukv	xiu kv					2025-05-16 17:05:43	2022-07-07 16:09:18
xczyu4dewgr	本座列車	福州话读成“本座列车”，实际在普通话中常写作“本次列车”，即单次（本次）所坐的列车，通常在报站时听到	buong55 coo242 liek5 cia55	buong33 zoo242 liek5 cia55	buong55 zia242 liek5 cia55		福州方言大词典.陈泽平 林勤.福建人民出版社		2025-05-16 17:05:43	2022-03-22 08:13:51
xmxzwuw7u9g	汤圆	汤圆	tong wun	tong wun					2025-05-16 17:05:43	2021-12-31 17:15:05
xjegtdx78s5	线面	寿面	suomian	suomian					2025-05-16 17:05:43	2021-12-26 21:22:05
xe85yw5u9zu	月利囝	女性引产后所坐的小月子	nguok21 li53 iang33	nguok5 lei242 giang33					2025-05-16 17:05:43	2021-07-11 00:00:00
x8sxvnrsnpk	小巧	东西小而精致。	siu24 a33	siu33 ka33					2025-05-16 17:05:43	2021-05-16 00:00:00
xdnkcg52r4w	坂	坂尾，在關源裡	戰坂zieng53 muang33	buang33					2025-05-16 17:05:43	2021-04-16 00:00:00
x35zvv85xdc	嫩漢	身材矮小的人，延伸出小时候的意思。	noung53 ang213						2025-05-16 17:05:43	2021-02-11 00:00:00
xx85ja4kcay	细漢	身材矮小的人，延伸出小时候的意思。	se53 ang213						2025-05-16 17:05:43	2021-02-11 00:00:00
x54fjr653gh	該載	幸好，還好(同音俗字，本字不詳)	gai53 jai213	gai55 zai213	福清 gai35 zai21				2025-05-16 17:05:43	2020-08-16 00:00:00
xxdctmtqbzk	怎生	怎麼，怎樣	zang nziang	zang33 ciang55	福清zang33 cang53，連讀zang21 nang53，合音zang353				2025-05-16 17:05:43	2020-08-16 00:00:00
x5fy7q6hgfe	多道	多虧的意思，例：多道伊對手(幫助)，㑚我蜀只儂做儥來	do53loo242						2025-05-16 17:05:43	2020-06-18 00:00:00
xyjuysjcqts	青蛤箭	弹弓，旧时儿童常用弹弓来打青蛤(青蛙、蛤蟆)，故此得名	cang21 ngak53 ieng213						2025-05-16 17:05:43	2020-05-01 00:00:00
xxjauwdrmsp	八果飯	八寶飯							2025-05-16 17:05:43	2021-05-17 00:00:00
xn9cv74hjgd	八果餡								2025-05-16 17:05:43	2021-05-17 00:00:00
xgexz4crzkq	鬼針草	一種草藥，可治牙齦炎、咽喉化膿等							2025-05-16 17:05:43	2021-05-17 00:00:00
xfrbedvxf75	蟶露								2025-05-16 17:05:43	2021-02-13 00:00:00
xr86df8gmug	蝦露								2025-05-16 17:05:43	2021-02-13 00:00:00
xpqjxbc8w87	厝头尾车	福州琅岐前锋环岛至凤坂客运站专线小巴的俗称							2025-05-16 17:05:43	2021-08-05 00:00:00
xkut6xqq2j6	魁爐頭	1.地名，在福州洪山泉塘，福飛南路附近。曾有同名自然村		hui lu tau					2025-05-16 17:05:43	2021-08-05 00:00:00
xpgmmjyrx7v	灰爐頭	1.舊地名，在鼓樓鼓西 2.地名，在馬尾							2025-05-16 17:05:43	2021-08-05 00:00:00
xysm59q7q5j	星安灰爐巷	舊地名，在臺江雙杭							2025-05-16 17:05:43	2021-08-05 00:00:00
x9dwv8gxde3	灰爐巷	舊地名，在倉山上渡							2025-05-16 17:05:43	2021-08-05 00:00:00
xuc9vwf5kux	灰爐	舊地名，在晉安東門							2025-05-16 17:05:43	2021-08-05 00:00:00
xf7znmuncmy	泉塘	地名，在福州福飛南路附近。有同名新村							2025-05-16 17:05:43	2021-08-05 00:00:00
xrprpjnrheu	會哊	感覺噁心‖嘔哊偏向生理上的，會哊偏心理上	e eoh						2025-05-16 17:05:43	2021-08-06 00:00:00
xw8qcn8dzyq	會憖飽飽	噁心到飽	e53 ngeoyng213 ba24 ba33						2025-05-16 17:05:43	2021-08-06 00:00:00
x7r6x4cc4q7	難悶菜								2025-05-16 17:05:43	2021-08-06 00:00:00
x6fqmwcy6de	難悶溪								2025-05-16 17:05:43	2021-08-06 00:00:00
xvk3fpurtmq	猴蔗	甜根子草							2025-05-16 17:05:43	2021-08-06 00:00:00
xd36gcgkqzh	洋當池	還行，一般般	yong21 noung55 nie53	yong53 doung55 die53					2025-05-16 17:05:43	2021-08-21 00:00:00
xcvwbdqtab4	戋姜	嫩姜	zieng21-gyong55						2025-05-16 17:05:43	2021-08-27 00:00:00
x25ke2fpnbz	生姜	1. 嫩姜； 2. 生的姜（跟熟的姜相对）	cang55-gyong55	cang55-gyong55					2025-05-16 17:05:43	2021-08-27 00:00:00
xt9cnuv63x9	伲囝痞				niang21-mi33 永泰				2025-05-16 17:05:43	2021-08-15 00:00:00
x9ypgrtw8b7	好貼	創可貼		ho taik	ho teik				2025-05-16 17:05:43	2020-06-20 00:00:00
xnjzursuzjv	私家	私房钱	sai55 a55	sai55 ga55				1rjct	2025-06-10 02:14:35	2021-05-16 00:00:00
xhmq8mbjcng	西藥貼	創可貼							2025-05-16 17:05:43	2020-06-20 00:00:00
xedy2v5hh3b	一貼好	創可貼							2025-05-16 17:05:43	2020-06-20 00:00:00
x7wdmdr5dv7	東北	中國東北地區	dung mooyk		deoyng mooyk				2025-05-16 17:05:43	2020-06-28 00:00:00
x75dzef2zf4	脰骨		dau21 oouk24		dau21 ooung242				2025-05-16 17:05:43	2020-06-28 00:00:00
xt8nmqtt2vj	阿蛦哥	知了							2025-05-16 17:05:43	2020-06-28 00:00:00
xh3nxymsn5g	㪗刀	打薄頭髮用的剪刀							2025-05-16 17:05:43	2020-06-20 00:00:00
xdwcwv5p893		陽光照射：者字看野瞀，掏日頭下底～囇		dang33					2025-05-16 17:05:43	2020-06-27 00:00:00
xy7eybu98gu		表示伸腿慢踢		teo213					2025-05-16 17:05:43	2020-09-28 00:00:00
xckuktzzjwz	當儥帶	支持不住，受不了	doung55 me53 lai213						2025-05-16 17:05:43	2020-09-28 00:00:00
xacrw9ztyau	水头势	山上水冲下来							2025-05-16 17:05:43	2020-09-28 00:00:00
x3cs3ytg8zn	土鳖		tu21 wiek24						2025-05-16 17:05:43	2020-09-28 00:00:00
xvfp69k8k2p	袁岐头	地名，在闽侯，近溪源江							2025-05-16 17:05:43	2020-09-28 00:00:00
xxxctzp978h	溪源江								2025-05-16 17:05:43	2020-09-28 00:00:00
xfperzfmmth	大樟溪								2025-05-16 17:05:43	2020-09-28 00:00:00
xqfb74zkt3e	淘江	地名，在闽侯							2025-05-16 17:05:43	2020-09-28 00:00:00
xhthnyztkku	三溪	地名，在长乐							2025-05-16 17:05:43	2020-09-28 00:00:00
xk25rpdqs57	光明港								2025-05-16 17:05:43	2020-09-28 00:00:00
xkjt74ubm8j	牛头马面	喻指福州西湖一带龙舟的舟头形态保存完整，颇为可观							2025-05-16 17:05:43	2020-09-28 00:00:00
xfkk6ebh2ds	广东龙	广东龙舟							2025-05-16 17:05:43	2020-09-28 00:00:00
xzrac3688hw	鋸糠	锯来下的的木头粉末	gy oung	geoy213 koung55				1rjct	2025-05-23 22:23:21	2020-09-28 00:00:00
xy7ug9g3pke	二保街	地名，在福州臺江區二保	ni21 wo21 e55	nei242 bo33 ge55		fzho		1rvd	2025-06-10 00:19:29	2023-04-19 00:00:00
xe3prh9zvvu	記憶	同普通話「記憶」	gi53 ei213	gei213 ei213			陈泽平. 福州方言研究[M]. 福建人民出版社, 1998: 15.	1rvd	2025-06-10 02:10:57	2023-11-16 00:00:00
xwdbza4uyc3	紙灰	1.紙灰2.代指舊紙廢紙	zai21 ui55					1rvd	2025-06-10 02:12:57	2021-05-17 00:00:00
xpujz579cc7	二都	地名，在寧德市蕉城區飛鸞鎮。元朝時期，寧德全县分爲二十五個「都」，而「二都」的範圍包括了三都澳西南方和南方海岸邊的二十多個村；後來把三都澳西南一帶村莊稱爲「二都」。有名產「二都蚶」	ni55 lu55	nei242 du55		fzho		1rvd	2025-06-10 02:20:44	2021-02-26 00:00:00
x2mgnju9tcp	刺絲	一種魚	cie55 li55					1rjct	2025-06-15 23:22:39	2020-09-28 00:00:00
xg234rujw9v	壶井环洲	长乐特色龙舟赛制。二龙分立于壶井港中的沙洲两端，以锣为号，互相环洲追逐，以触及前龙尾舵为胜						1rvd	2025-06-15 23:46:15	2020-09-28 00:00:00
xx4x6n55d53		表示動作是一次，或表示動作是短暫的，或表示動作是試試：聽～|覷～|食～(iang213)|食～(giang213)		iang213				1rjct	2025-06-16 01:15:09	2020-06-27 00:00:00
xuhk2xdc9rb	納嘻犬	表情像在笑的狗，也指这种笑容						1rvd	2026-01-11 21:15:50	2020-09-28 00:00:00
