id	word__id	word__text	text	tone	cik_final	cik_initial	ling_final	ling_initial	cik_order	ling_order	cik_annotation	ling_annotation	li_annotate_cik_order	li_annotate_cik	li_annotate_ling_order	li_annotate_ling	comment	note	updated_time	created_time
xsy8vdk55ns	xrxbqtbx5p4	繂	繂	8	春	柳	公	柳	45	45	大索	大繩							2025-05-16 17:04:05	2025-05-16 17:04:05
xvv9m7x7z4d	xejuf8d77uy	轆	轆	8	春	柳	公	柳	46	46	~轤	轤，善轉輪							2025-05-16 17:04:05	2025-05-16 17:04:05
x3df584avky	x8pj5cruzxa	膟	膟	8	春	柳	公	柳	47	47	~膋，腸間脂也								2025-05-16 17:04:05	2025-05-16 17:04:05
xvqzysc6gqn			𠷈	8	春	柳	公	柳	48	48	鳴								2025-05-16 17:04:05	2025-05-16 17:04:05
x6f6c7x726n	xw39wcxaf6k	嵂	嵂	8	春	柳	公	柳	49	49	崒~，山高								2025-05-16 17:04:05	2025-05-16 17:04:05
x7w5s442vh5			𢟳	8	春	柳	公	柳	50	50	憂悶								2025-05-16 17:04:05	2025-05-16 17:04:05
xj7jded72eu	xn5ruzqarge	率	率	8	春	柳	公	柳	51	51	彀	彀~，彎弓之限							2025-05-16 17:04:05	2025-05-16 17:04:05
xraertad5y6			𩴐	8	春	柳	公	柳	52	52	鬼名								2025-05-16 17:04:05	2025-05-16 17:04:05
x2meypqfu3w	xsx483jchw4	枋	枋	1	春	邊	公	邊	53	53	腰板	腰~，板半折也							2025-05-16 17:04:05	2025-05-16 17:04:05
xfdbu7smwks	x3pd6wx4v3e	琫	琫	2	春	邊	公	邊	54	54	刀飾	刀飾							2025-05-16 17:04:05	2025-05-16 17:04:05
x66kns9hu2x	xfnwrxdqa4r	唪	唪	2	春	邊	公	邊	55	55	大笑	大笑							2025-05-16 17:04:05	2025-05-16 17:04:05
xmmbttx244x	xfct32qj25u	糞	糞	3	春	邊	公	邊	56	56	弃物	棄物							2025-05-16 17:04:05	2025-05-16 17:04:05
x4w55vqdgd9	xaksj7cqp8j	畚	畚	3	春	邊	公	邊	58	58	~箕	~箕							2025-05-16 17:04:05	2025-05-16 17:04:05
xg6tmtmjmv8	xt82jzpvx56	不	不	4	春	邊	公	邊	59	59	弗	弗也							2025-05-16 17:04:05	2025-05-16 17:04:05
xztguyayb9d			卜	4	春	邊	公	邊	60	60	~卦	卦也							2025-05-16 17:04:05	2025-05-16 17:04:05
xnfhbuxpmgw	xdnnr8pan6q	腹	腹	4	春	邊	公	邊	61	61	~肚	涵五臟六腑之總名							2025-05-16 17:04:05	2025-05-16 17:04:05
x96f69nhc7z			䟔	4	春	邊	公	邊	62	62	倒								2025-05-16 17:04:05	2025-05-16 17:04:05
xakb967p4cz	xt38nvwadj6	房	房	5	春	邊	公	邊	63	63	臥所	臥所人姓							2025-05-16 17:04:05	2025-05-16 17:04:05
xubms6fgaqq	xxty2g275tj	縫	縫	5	春	邊	公	邊	64	64	裁~	裁~							2025-05-16 17:04:05	2025-05-16 17:04:05
xwjxzs3pmk8			鈍	7	春	邊	公	邊	65	65	不敏7		7	原作「鈍」。《集》：「鈍，徒困切。」音不合，借其義表示方言詞。本字應作「笨」，《集》：「笨，部本切，一曰不精。」					2025-05-16 17:04:05	2025-05-16 17:04:05
x32wnevaz7n	xyqh94rd4ju	僕	僕	8	春	邊	公	邊	66	66	奴~	僮~							2025-05-16 17:04:05	2025-05-16 17:04:05
xq7qha6kfec	xwy5xb6mrc3	瀑	瀑	8	春	邊	公	邊	67	67	~布	~布飛泉							2025-05-16 17:04:05	2025-05-16 17:04:05
xv3yz27s3by	xhs2apmtscx	樸	樸	8	春	邊	公	邊	68	68	~樕，小木	~梀小木							2025-05-16 17:04:05	2025-05-16 17:04:05
xhd5496rf8s	xm649uxdrqh	觳	觳	8	春	邊	公	邊	69	69	~觫，懼貌8	~觫恐懼8	8	原作「觳」。胡谷切，非唇音，疑有误。	8	原作「觳」。胡谷切，非唇音，疑有误。			2025-05-16 17:04:05	2025-05-16 17:04:05
xavfs8rehm6	xwad7862v2j	匐	匐	8	春	邊	公	邊	70	70	匍~伏地	匍~伏地							2025-05-16 17:04:05	2025-05-16 17:04:05
xsvkhrysbnr	xf9yrk6j4ke	蔔	蔔	8	春	邊	公	邊	71	71	~萄，果名9	~萄	9	原書「蔔」上有一實心黑圈「●」。衍。《林》無，刪。原注誤。《廣》：「蔔，蒲北切，蘆蔔。」即今日之「蘿蔔」，非「葡萄」。					2025-05-16 17:04:05	2025-05-16 17:04:05
xfpxr63de9d			𪇰	8	春	邊	公	邊	72	72	水鳥								2025-05-16 17:04:05	2025-05-16 17:04:05
xwvqx7uzph2			𨄑	8	春	邊	公	邊	73	73	伏仆								2025-05-16 17:04:05	2025-05-16 17:04:05
xx8rx83crd6			菜	8	春	邊	公	邊	74	74	日乾10		10	原作「菜」。音義不合，據所注「日乾」疑為「暴」之誤。					2025-05-16 17:04:05	2025-05-16 17:04:05
x8wydb6ctrp	xjm65gcze9u	䗱	䗱	8	春	邊	公	邊	75	75	小蟲								2025-05-16 17:04:05	2025-05-16 17:04:05
xg7snmaumuq			暴	8	春	邊	公	邊	76	76	日曬乾	日曬乾溫之也							2025-05-16 17:04:05	2025-05-16 17:04:05
xfcuxkddnpq	xh98sz9s9f2	濮	濮	8	春	邊	公	邊	77	77	水名	水名							2025-05-16 17:04:05	2025-05-16 17:04:05
xr649wbn79y	xqb9xgxbbgn	公	公	1	春	求	公	求	78	78	~平	平也，正直無私							2025-05-16 17:04:05	2025-05-16 17:04:05
x7y4r4esjwr	xnzffns53hc	蚣	蚣	1	春	求	公	求	79	79	蜈~	蜈~，毒蟲多足							2025-05-16 17:04:05	2025-05-16 17:04:05
xp6b4kxtjtx	xrkybunx3b6	功	功	1	春	求	公	求	80	80	勲	勲也，以勞定國							2025-05-16 17:04:05	2025-05-16 17:04:05
x7mbf6rp9ua	x37zmky52jd	工	工	1	春	求	公	求	81	81	藝	習藝巧匠，~夫							2025-05-16 17:04:05	2025-05-16 17:04:05
xmp6dbx2ep3	xwxmb9jgbqs	攻	攻	1	春	求	公	求	82	82	伐	~擊伐也							2025-05-16 17:04:05	2025-05-16 17:04:05
xbc3vtbz5pd	x57x69pd3cb	君	君	1	春	求	公	求	83	83	帝	帝也尊也							2025-05-16 17:04:05	2025-05-16 17:04:05
x43vpusafxr	xvw2x5v3pg2	軍	軍	1	春	求	公	求	84	84	~師	旅也，萬二千五百人							2025-05-16 17:04:05	2025-05-16 17:04:05
xvxnxtkb3nw			𨑪	1	春	求	公	求	85	85	遷								2025-05-16 17:04:05	2025-05-16 17:04:05
xu4ubjrwzw9	xhqxdh4waam	鍕	鍕	1	春	求	公	求	86	86	雙口澡罐11		11	原注「雙口澡灌」。「灌」乃「罐」之誤。玄應《一切經音義》：「軍持……謂雙口澡灌。」					2025-05-16 17:04:05	2025-05-16 17:04:05
xkbqn47wxpv	xvtx9vy8g9c	䲲	䲲	1	春	求	公	求	87	87	鳥名								2025-05-16 17:04:05	2025-05-16 17:04:05
xprvzs85t4c	xtgjdhrd9g9	桾	桾	1	春	求	公	求	88	88	~櫏，木名12		12	原注「桾𣔅」。「𣔅」乃「𰗬」之誤，「𰗬」乃「櫏」之俗字。《集》：桾，枸云切，桾櫏，木名。					2025-05-16 17:04:05	2025-05-16 17:04:05
x4ckbgawt3x	xj7ghxntcu6	袞	衮	2	春	求	公	求	89	89	天子之衣	天子之衣							2025-05-16 17:04:05	2025-05-16 17:04:05
xmdz6c3g8m6	xxrptens632	滾	滚	2	春	求	公	求	90	90	沸湯	沸湯							2025-05-16 17:04:05	2025-05-16 17:04:05
xcqjzsbhsjz	xxrptens632	滾	𣽙	2	春	求	公	求	91	91	沸湯								2025-05-16 17:04:05	2025-05-16 17:04:05
xgwt6yzrzk2	xgp5pwde7cm	㨰	㨰	2	春	求	公	求	92	92	轉	轉也							2025-05-16 17:04:05	2025-05-16 17:04:05
xxsfu9scbe3	xceqwjp74qn	䜇	䜇	2	春	求	公	求	93	93	語不明貌	語不明也							2025-05-16 17:04:05	2025-05-16 17:04:05
xgas7mdu6wb	xub89rrkxf3	鯀	鯀	2	春	求	公	求	94	94	禹父名	大禹父名							2025-05-16 17:04:05	2025-05-16 17:04:05
xwadevrbs57	xub89rrkxf3	鯀	𩩌	2	春	求			95		禹父名								2025-05-16 17:04:05	2025-05-16 17:04:05
xuwwbv82wvr	x7vzuew5max	輥	輥	2	春	求	公	求	96	95	車輪	輪轉							2025-05-16 17:04:05	2025-05-16 17:04:05
xfe7vkgzka3			𩌌	2	春	求	公	求	97	96	生皮	生皮							2025-05-16 17:04:05	2025-05-16 17:04:05
xypmt87xra4	xam7xkhtcd8	緄	緄	2	春	求	公	求	98	97	帶也								2025-05-16 17:04:05	2025-05-16 17:04:05
x8dkjrst4vw	xyzsyq424ht	鮌	鮌	2	春	求	公	求	99	98	魚名								2025-05-16 17:04:05	2025-05-16 17:04:05
xzqach4np2k	xphc5djns5d	蓘	蓘	2	春	求	公	求	100	99	壅苗								2025-05-16 17:04:05	2025-05-16 17:04:05
xg9xb4edsmn	xb483efc6gf	裷	裷	2	春	求	公	求	101	100	天子袾衣								2025-05-16 17:04:05	2025-05-16 17:04:05
xvwtwuzujfx			𢟦	2	春	求	公	求	102	101	亂								2025-05-16 17:04:05	2025-05-16 17:04:05
x8emu8ucf6u	xrp7uncq2wc	貢	貢	3	春	求	公	求	103	102	進~	進~，獻上之物							2025-05-16 17:04:05	2025-05-16 17:04:05
xwwaddgded4	xpsuut58vrf	棍	棍	3	春	求	公	求	104	103	杖~	木~，杖也							2025-05-16 17:04:05	2025-05-16 17:04:05
xng579hmfrt	xh3ycn3uvm4	愩	愩	3	春	求	公	求	105	104	心動								2025-05-16 17:04:05	2025-05-16 17:04:05
xfqygh869xv	xm7erg2a4v6	㔶	㔶	3	春	求	公	求	106	105	小杯								2025-05-16 17:04:05	2025-05-16 17:04:05
xu87hywtcy2	xe89bsyshwu	贛	贛	3	春	求	公	求	107	106	賜								2025-05-16 17:04:05	2025-05-16 17:04:05
xg8wvnsmddd	x7pn3s7tqdn	羾	羾	3	春	求	公	求	108	107	至								2025-05-16 17:04:05	2025-05-16 17:04:05
x8vczwnppdz	xnyukf3u4n6	灨	灨	3	春	求	公	求	109	108	水名								2025-05-16 17:04:05	2025-05-16 17:04:05
xyqsdvrmkqy	xyvu4c2j7sr	酷	酷	4	春	求	公	求	112	111	貪~	貪~							2025-05-16 17:04:05	2025-05-16 17:04:05
xjptdx4vkre	x847dma8kxe	梏	梏	4	春	求	公	求	113	112	桎~	桎							2025-05-16 17:04:05	2025-05-16 17:04:05
xkwzw3jjsq5	xkt9uh2rmpm	鵠	鵠	4	春	求	公	求	114	113	鳥名	鳥名							2025-05-16 17:04:05	2025-05-16 17:04:05
xt4kera4u3k	xkxg6uprgvu	嚳	嚳	4	春	求	公	求	115	114	帝名	帝名							2025-05-16 17:04:05	2025-05-16 17:04:05
xk8by8g5nxg	xjca7a6bg3e	趉	趉	4	春	求	公	求	116	115	走	卒起走也							2025-05-16 17:04:05	2025-05-16 17:04:05
xxwgryj7z3f	xnu9re98ykn	轂	轂	4	春	求	公	求	117	116	車								2025-05-16 17:04:05	2025-05-16 17:04:05
xwgkzy6av52	xx43a7xracr	唂	唂	4	春	求	公	求	118	117	鳥鳴								2025-05-16 17:04:05	2025-05-16 17:04:05
xfujgbqc5kq	xfp8wpqruag	悎	悎	4	春	求	公	求	119	118	怖								2025-05-16 17:04:05	2025-05-16 17:04:05
xqgev4jghz7	x7awd2jk268	穀	穀	4	春	求	公	求	111	110	米～	米~							2025-09-18 18:38:16	2025-05-16 17:04:05
xt34p47rqff	x2y3728w68k	焅	焅	4	春	求	公	求	120	119	旱氣								2025-05-16 17:04:05	2025-05-16 17:04:05
xp9554nkawz	xqu796dn95z	牿	牿	4	春	求	公	求	121	120	牛牢								2025-05-16 17:04:05	2025-05-16 17:04:05
xdpvshx2d3c	xd7guanjhgg	䶜	䶜	4	春	求	公	求	122	121	治牙								2025-05-16 17:04:05	2025-05-16 17:04:05
x3jsntwvqtu	xq57gyvxj77	蠖	蠖	4	春	求	公	求	124	123		屈伸蟲名102			102	原作「蠖」。《康》引《唐韻》鳥郭切，音不合。《戚》無此字，疑衍。	#註=《唐韻》爲烏郭切，非鳥郭切。		2025-05-16 17:04:05	2025-05-16 17:04:05
xtbmwr4gnf4	x4hvtpdkxgg	羣	群	5	春	求	公	求	125	124	眾	衆也					#註=《唐韻》爲烏郭切，非鳥郭切。		2025-05-16 17:04:05	2025-05-16 17:04:05
xw9dtqn6gu5	x4hvtpdkxgg	羣	羣	5	春	求	公	求	126	125	眾	衆也					#註=《唐韻》爲烏郭切，非鳥郭切。		2025-05-16 17:04:05	2025-05-16 17:04:05
x3z6dngwaym	xjs75rcn53a	裙	裙	5	春	求	公	求	127	126	下裳	下裳					#註=《唐韻》爲烏郭切，非鳥郭切。		2025-05-16 17:04:05	2025-05-16 17:04:05
xu8xcxfgzkk	xjs75rcn53a	裙	褌	5	春	求	公	求	128	127	下裳	下裳					#註=《唐韻》爲烏郭切，非鳥郭切。		2025-05-16 17:04:05	2025-05-16 17:04:05
x7e87tdza86	xdargd24suc	拳	拳	5	春	求	公	求	129	128	屈指	屈指					#註=《唐韻》爲烏郭切，非鳥郭切。		2025-05-16 17:04:05	2025-05-16 17:04:05
xhagc2r86nw			𤺽	5	春	求	公	求	130	129	~痺						#註=《唐韻》爲烏郭切，非鳥郭切。		2025-05-16 17:04:05	2025-05-16 17:04:05
xs4ngzm7bag			𨞗	5	春	求	公	求	131	130	地名						#註=《唐韻》爲烏郭切，非鳥郭切。		2025-05-16 17:04:05	2025-05-16 17:04:05
xx79hkreyzv	xawzzq323ht	珺	珺	7	春	求	公	求	133	132	美玉	美玉					#註=《唐韻》爲烏郭切，非鳥郭切。		2025-05-16 17:04:05	2025-05-16 17:04:05
xgayf8pnzby			𩂿	7	春	求	公	求	134	133	雨						#註=《唐韻》爲烏郭切，非鳥郭切。		2025-05-16 17:04:05	2025-05-16 17:04:05
x2smzfzv6tu	xcnref2bhsw	鵘	鵘	7	春	求	公	求	135	134	鷄無尾13		13	原注「圭牙尾」，誤，《集》：「鵘，巨隕切，鷄無尾。」音義合，據改。					2025-05-16 17:04:05	2025-05-16 17:04:05
x8w64h6bdrv	xhz2stm3zau	郡	𨛦	7	春	求	公	求	136	135	同郡	~，樂人所群聚							2025-05-16 17:04:05	2025-05-16 17:04:05
x5rusyjac8d	xp8xmvz6kbd	掘	掘	8	春	求	公	求	137	136	以鋤~地	以鋤~地							2025-05-16 17:04:05	2025-05-16 17:04:05
xd5bugpmhgf	xspzgxqbmup	倔	倔	8	春	求	公	求	138	137	硬	强硬，戾也							2025-05-16 17:04:05	2025-05-16 17:04:05
xrtkmrrcfxe	xg748gx9zrt	淈	淈	8	春	求	公	求	139	138	盡								2025-05-16 17:04:05	2025-05-16 17:04:05
xv9v97kyycb			𣨢	8	春	求	公	求	140	139	~殭，死不朽								2025-05-16 17:04:05	2025-05-16 17:04:05
xg4q98vej2d			䞷	8	春	求	公	求	141	140	走								2025-05-16 17:04:05	2025-05-16 17:04:05
xtm8bcsppuh			𣮈	8	春	求	公	求	142	141	鳥短毛								2025-05-16 17:04:05	2025-05-16 17:04:05
xzdrps3utkx	x4udxh5ek7u	空	空	1	春	氣	公	悉	143	142	虛~	虛~							2025-05-16 17:04:05	2025-05-16 17:04:05
xnba6xtmt6t	xrunwef3u3t	崆	崆	1	春	氣	公	悉	144	143	~峒，山名	峒							2025-05-16 17:04:05	2025-05-16 17:04:05
xasmj3g7t93	x2xqzdc6h9g	箜	箜	1	春	氣	公	悉	145	144	~篌，樂器	篌							2025-05-16 17:04:05	2025-05-16 17:04:05
xrseezaeztr	x63xaaey87w	倥	倥	1	春	氣	公	悉	146	145	~侗，無知之貌	侗，無知，~傯，事多							2025-05-16 17:04:05	2025-05-16 17:04:05
xrpspyn67dc	xuudwtcnwxf	涳	涳	1	春	氣	公	悉	147	146	~濛，小雨								2025-05-16 17:04:05	2025-05-16 17:04:05
xzv62ac29ka			㲁	1	春	氣	公	悉	148	147	擊								2025-05-16 17:04:05	2025-05-16 17:04:05
x8x3azgt9sf	x3qf2dhwsnm	鵼	鵼	1	春	氣	公	悉	149	148	怪鳥14		14	原注「怀鳥」。「怀」乃「怪」之誤。《廣》：「鵼，苦紅切，怪鳥。」					2025-05-16 17:04:05	2025-05-16 17:04:05
xza4t25g2nh	xdmgu879t2g	悾	悾	1	春	氣	公	悉	150	149	誠也，慤也								2025-05-16 17:04:05	2025-05-16 17:04:05
xg7pznn38vg			𪔣	1	春	氣	公	悉	151	150	鼓聲								2025-05-16 17:04:05	2025-05-16 17:04:05
xxcaarhxxju	xfwzfmpxfm2	孔	孔	2	春	氣	公	悉	152	151	竅也，甚也	竅，又甚，又姓							2025-05-16 17:04:05	2025-05-16 17:04:05
xzmzy2aa5jh	x235e5pbna7	梱	閫	2	春	氣	公	悉	153	152	門橛	閨門							2025-05-16 17:04:05	2025-05-16 17:04:05
xsfpxe74asg	x235e5pbna7	梱	梱	2	春	氣	公	悉	154	153	門橛								2025-05-16 17:04:05	2025-05-16 17:04:05
x7gbf8v325y	x235e5pbna7	梱	壼	2	春	氣	公	悉	155	154	宮中道	同上103			103	原注「同上」，未確。《集》：「壼，區倫切，《爾雅》：宮中衖謂之壼。」錄以備考。			2025-05-16 17:04:05	2025-05-16 17:04:05
xvg4aedp3hx	xsrumvm2es6	捆	綑	2	春	氣	公	悉	156	155	~縛	縛							2025-05-16 17:04:05	2025-05-16 17:04:05
xzzkgxpajkt	x3ryd22hz6g	悃	悃	2	春	氣	公	悉	157	156	寔情	寔情							2025-05-16 17:04:05	2025-05-16 17:04:05
x5ecphjw645			稇	2	春	氣	公	悉	158	157	束								2025-05-16 17:04:05	2025-05-16 17:04:05
xecmrdkctvk	xbcz75w2yud	齫	齫	2	春	氣	公	悉	159	158	齒起貌								2025-05-16 17:04:05	2025-05-16 17:04:05
x7nu7rgfwkv	xvn28g8nd2x	麏	𪊽	2	春	氣	公	悉	160	159	鹿屬								2025-05-16 17:04:05	2025-05-16 17:04:05
xh6aepvwv4h	xvn28g8nd2x	麏	麏	2	春	氣	公	悉	161	160	鹿屬								2025-05-16 17:04:05	2025-05-16 17:04:05
x8kqy4t5gd4	xsrumvm2es6	捆	捆	2	春	氣	公	悉	162	161	抒15		15	原注「抒」，據《玉篇》，含義不詳。可能為「打」之誤。《孟子》：「捆履織席。」趙岐注：「捆猶叩㭬」，即「打」意。					2025-05-16 17:04:05	2025-05-16 17:04:05
xmyuxspwmz3	xz5uybu2j5p	控	控	3	春	氣	公	悉	163	162	告~	告							2025-05-16 17:04:05	2025-05-16 17:04:05
xruntrtyqfn	xzwuug9a4r3	鞚	鞚	3	春	氣	公	悉	164	163	勒馬								2025-05-16 17:04:05	2025-05-16 17:04:05
xqjw94th9hn	xba5a54zc7p	空	空	3	春	氣	公	悉	165	164	乏	乏							2025-05-16 17:04:05	2025-05-16 17:04:05
x5ej4v9hasa	xakrzttza6w	屈	屈	4	春	氣	公	悉	166	165	曲~	欎							2025-05-16 17:04:05	2025-05-16 17:04:05
xa3hk3u6dsa			𠜾	4	春	氣	公	悉	167	166	曲刀	曲刀							2025-05-16 17:04:05	2025-05-16 17:04:05
x4w5xmjcryq			尻	4	春	氣	公	悉	168	167	骨16	曲16	16	原作「尻」。《廣》、《集》幷丘刀切，音不合，今口語无此说，疑有誤。	16	原作「尻」。《廣》、《集》幷丘刀切，音不合，今口語无此说，疑有誤。			2025-05-16 17:04:05	2025-05-16 17:04:05
xb8ga4psfsk	x9ycsw32k63	詘	詘	4	春	氣	公	悉	169	168	辭窮	辭塞							2025-05-16 17:04:05	2025-05-16 17:04:05
xqd4pjyddgr	xvhe6d48gz8	哭	哭	4	春	氣	公	悉	170	169	哀聲	哀聲							2025-05-16 17:04:05	2025-05-16 17:04:05
xrsbxjs3ptp	xkzj7a4xpxf	䓛	䓛	4	春	氣	公	悉	171	170	刷								2025-05-16 17:04:05	2025-05-16 17:04:05
