id	word__id	word__text	text	type	glyph_category	glyph_type	updated_time	created_time
xmcu3dntxey	x8mhs8j3gkr	攏總	所有	S			2025-05-16 16:54:18	2025-05-16 16:54:18
xz4f2jzb6fu	x8mhs8j3gkr	攏總	全部	S			2025-05-16 16:54:18	2025-05-16 16:54:18
xbx2bpkwxae	x8mhs8j3gkr	攏總	整個	S			2025-05-16 16:54:18	2025-05-16 16:54:18
xe4rtvpg3dh	x8mhs8j3gkr	攏總	整個兒	S			2025-05-16 16:54:18	2025-05-16 16:54:18
xsn9guax3zu	xqgpxqwe7rg	壟	壠	A			2025-05-16 16:54:18	2025-05-16 16:54:18
x7hbewxvaed	x5ygpyebv5x	碌	脫落	M			2025-05-16 16:54:19	2025-05-16 16:54:19
x7rxeg97vwe	x5ygpyebv5x	碌	溜走	S			2025-05-16 16:54:19	2025-05-16 16:54:19
xy2epun4e2x	xdfagspjsjt	碌碌過	時光飛逝	M			2025-05-16 16:54:19	2025-05-16 16:54:19
x39k8a9y6a2	xuw43twnr9h	輪	輪	M			2025-05-16 16:54:19	2025-05-16 16:54:19
x7d96k4xpa4	xuw43twnr9h	輪	輪子	M			2025-05-16 16:54:19	2025-05-16 16:54:19
x7kkjrcqb7v	xuw43twnr9h	輪	車輪	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xjnybnmjs24	xuw43twnr9h	輪	輪流	M			2025-05-16 16:54:19	2025-05-16 16:54:19
x27cjym63qp	xxnw6daex8e	輪鞋	弓鞋	M			2025-05-16 16:54:19	2025-05-16 16:54:19
x8z242f2aeq	xxnw6daex8e	輪鞋	金年秀鞋	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xdk6q72ma3p	xxnw6daex8e	輪鞋	裹腳穿的鞋	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xrbzze5rm82	xg24skggsty	輪迴	輪迴	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xgznza7675b	xg24skggsty	輪迴	循環	S			2025-05-16 16:54:19	2025-05-16 16:54:19
x66gqzr6vps	xg24skggsty	輪迴	轉世	S			2025-05-16 16:54:19	2025-05-16 16:54:19
xppq9jq3rua	x9bzstvtubt	輪活	機靈	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xdv93mkz9a4	x9bzstvtubt	輪活	靈活	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xd473tajddv	x9bzstvtubt	輪活	靈巧	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xa5rfkrt8n9	x9bzstvtubt	輪活	靈敏	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xujqa9yunbc	x9bzstvtubt	輪活	伶俐	S			2025-05-16 16:54:19	2025-05-16 16:54:19
x9bjauhq5ng	x9bzstvtubt	輪活	聰慧	S			2025-05-16 16:54:19	2025-05-16 16:54:19
x4af982hx8a	xur5qqa6huj	龍船	龍船	M			2025-05-16 16:54:19	2025-05-16 16:54:19
x635xcv5umv	xur5qqa6huj	龍船	龍舟	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xx7tk7h6vqz	xnw6yd82hhq	弄	㑝	A			2025-05-16 16:54:19	2025-05-16 16:54:19
x5d4zjz4kfz	x27vdxcvd97	律師	律師	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xnyr7kn2pzh	xrxbqtbx5p4	繂	攀緣	S			2025-05-16 16:54:19	2025-05-16 16:54:19
xqvy6rjbnna	xrxbqtbx5p4	繂	攀登	S			2025-05-16 16:54:19	2025-05-16 16:54:19
xcedd2u7xzy	xejuf8d77uy	轆	轆	M			2025-05-16 16:54:19	2025-05-16 16:54:19
x2gk4stgvfg	xrqjf4xp6qp	轆索	繂索	A			2025-05-16 16:54:19	2025-05-16 16:54:19
xbns9jn45wt	xrqjf4xp6qp	轆索	轆轤索	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xc3n429vjgz	xq89sdkhrzg	轆餅	繂餅	A			2025-05-16 16:54:19	2025-05-16 16:54:19
xknxa6xh5cz	xq89sdkhrzg	轆餅	轆轤	M			2025-05-16 16:54:19	2025-05-16 16:54:19
x6u89aveae4	xmwketmmd8d	崩	崩	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xh32hdsz4kv	xmwketmmd8d	崩	崩裂	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xs8ra4nv8t8	xmwketmmd8d	崩	塌	S			2025-05-16 16:54:19	2025-05-16 16:54:19
x29zxksdrtk	xmwketmmd8d	崩	倒塌	S			2025-05-16 16:54:19	2025-05-16 16:54:19
xnvc4kgs6dp	xmwketmmd8d	崩	垮	S			2025-05-16 16:54:19	2025-05-16 16:54:19
xry7hamwzk3	xmwketmmd8d	崩	垮塌	S			2025-05-16 16:54:19	2025-05-16 16:54:19
xg7krpmgxbz	xmwketmmd8d	崩	痭	A			2025-05-16 16:54:19	2025-05-16 16:54:19
xpb6pmh8dq5	xtckryz244q	方	塊	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xraqn72343p	xfct32qj25u	糞	糞便	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xuck8ycwe2h	xfct32qj25u	糞	糞肥	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xfu7gukf49y	xfct32qj25u	糞	糞	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xbhsxvnqgv2	xfct32qj25u	糞	𡊄	A			2025-05-16 16:54:19	2025-05-16 16:54:19
xr5m69xp7yf	xprq5p6mrrb	糞斛	蓄糞池	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xh9vdszr272	xdg34ec8pnx	糞池	糞池	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xzxa2guqp2q	xdg34ec8pnx	糞池	化糞池	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xat3nd3dgus	xyfmj7s9jyw	糞桶	糞桶	M			2025-05-16 16:54:19	2025-05-16 16:54:19
x2dqzx4qqqt	xyfmj7s9jyw	糞桶	馬桶	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xgztr8kec3n	xyfmj7s9jyw	糞桶	馬子	S			2025-05-16 16:54:19	2025-05-16 16:54:19
xy3rnrnrudw	xyfmj7s9jyw	糞桶	恭桶	S			2025-05-16 16:54:19	2025-05-16 16:54:19
xb8e6vkje9b	xvvh2n6jw7b	糞蟲	糞蟲	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xpg8msh8u9r	xvvh2n6jw7b	糞蟲	蛆	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xv3hk48fdan	xktpudbemhb	糞楻	大糞桶	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xywy8esvduh	xk2cte9phfk	糞桸	糞勺	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xf653gg7hgr	xk2cte9phfk	糞桸	糞勺子	S			2025-05-16 16:54:19	2025-05-16 16:54:19
x3rqn9ytry7	xk2cte9phfk	糞桸	糞桸	S			2025-05-16 16:54:19	2025-05-16 16:54:19
xxrcxu233q6	xk2cte9phfk	糞桸	糞鏟	S			2025-05-16 16:54:19	2025-05-16 16:54:19
xkdd25zcx5h	x8aujs7k6vd	糞掃	糞倒	A			2025-05-16 16:54:19	2025-05-16 16:54:19
xst9wvzm2r8	x8aujs7k6vd	糞掃	𡊄𡎮	A			2025-05-16 16:54:19	2025-05-16 16:54:19
xjc8xbhxd3b	x8aujs7k6vd	糞掃	畚𡎮	A			2025-05-16 16:54:19	2025-05-16 16:54:19
x3xkptkcxww	x8aujs7k6vd	糞掃	垃圾	M			2025-05-16 16:54:19	2025-05-16 16:54:19
xtn325zuebf	x8aujs7k6vd	糞掃	廢物	S			2025-05-16 16:54:19	2025-05-16 16:54:19
xufkdmkyahv	x8aujs7k6vd	糞掃	雜碎	S			2025-05-16 16:54:19	2025-05-16 16:54:19
xgrbmu8n3g4	x8aujs7k6vd	糞掃	渣滓	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xf84zphnzeg	x8aujs7k6vd	糞掃	破爛	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xumn3m9w72j	x8aujs7k6vd	糞掃	廢品	S			2025-05-16 16:54:20	2025-05-16 16:54:20
x35e26en7bk	xkx39wpnta4	糞掃塗	肥料	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xw2x83yquju	xkx39wpnta4	糞掃塗	垃圾肥	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xbp5pd9xkaa	xas4bt2eksj	糞掃埕	垃圾場	M			2025-05-16 16:54:20	2025-05-16 16:54:20
x538pzywykt	xrjj2tdyfuv	糞坑	糞坑	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xnszdndhffs	xrjj2tdyfuv	糞坑	屎坑	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xc8m9k6tbsx	xrjj2tdyfuv	糞坑	蹲坑	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xm6n23c2g7j	xrjj2tdyfuv	糞坑	廁所	S			2025-05-16 16:54:20	2025-05-16 16:54:20
x3pg2dq9rkn	xntdxa6g7gk	糞坑	糞坑	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xuyxq755p5c	xntdxa6g7gk	糞坑	屎坑	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xkhfhg6m7yg	xntdxa6g7gk	糞坑	蓄糞池	S			2025-05-16 16:54:20	2025-05-16 16:54:20
x8g4xde6avb	xwcgpsmsgh7	糞坑馬	陋廁	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xgqtg9jwhuf	xwcgpsmsgh7	糞坑馬	廁所	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xqvwghqjn8v	x99hjhuqjm8	糞坑厝	廁所	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xftvx7vwc3c	xnpzpxmrx2w	畚斗	畚斗	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xbm2nwpw4tt	xnpzpxmrx2w	畚斗	簸箕	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xp6avpj7xpm	xakxqumk9vg	畚箕	糞箕子	M			2025-05-16 16:54:20	2025-05-16 16:54:20
x2hfctyb6ry	xakxqumk9vg	畚箕	畚箕	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xytp9fujv4m	xakxqumk9vg	畚箕	簸箕	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xkygf8hvc7n	xakxqumk9vg	畚箕	籮	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xbwgjvm28y9	xhnbv4x893h	放	發出	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xctzywt2sfr	xhnbv4x893h	放	點燃	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xdyaafm785z	xhnbv4x893h	放	放在	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xxwfg6jpqnr	xhnbv4x893h	放	放開	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xruptc5xgf4	xhnbv4x893h	放	放	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xrjy85f36vn	x95eavbkdgb	放子	產卵	M			2025-05-16 16:54:20	2025-05-16 16:54:20
x35up7dj2jr	xmmfj54wvp3	放錢紙	抛撒纸錢	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xee2y8u6pxy	xmmfj54wvp3	放錢紙	抛纸錢	M			2025-05-16 16:54:20	2025-05-16 16:54:20
x334jb3u78t	xmmfj54wvp3	放錢紙	撒纸錢	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xda2n5gqreu	xmmfj54wvp3	放錢紙	撒幣	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xcha9vt8jxp	xmmfj54wvp3	放錢紙	出殯	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xq5bbhp7qea	xmmfj54wvp3	放錢紙	大肆揮霍	S			2025-05-16 16:54:20	2025-05-16 16:54:20
x4rjvn4gacu	xmmfj54wvp3	放錢紙	揮霍無度	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xsmzb7qcwgc	xmmfj54wvp3	放錢紙	千金一擲	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xkhray63wyx	x98a22fmfsk	放生	放生	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xv86mvjj896	x98a22fmfsk	放生	放歸自然	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xxe83945u7q	xjhahk9caxq	放帖	送帖子	M			2025-05-16 16:54:20	2025-05-16 16:54:20
x9rqb9e9e6v	xjhahk9caxq	放帖	送帖	M			2025-05-16 16:54:20	2025-05-16 16:54:20
x3ayxsyk252	xjhahk9caxq	放帖	下帖子	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xw84g64egsu	xjhahk9caxq	放帖	下帖	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xtv6qgzv75t	xjhahk9caxq	放帖	發帖子	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xm7y5zgcp3j	xjhahk9caxq	放帖	請帖	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xgssyuu876w	xhndtj9abq3	放錢債	放債	M			2025-05-16 16:54:20	2025-05-16 16:54:20
x2mpe3ms4n6	xvbegektwhe	放齋	放學	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xf8rf5sbsdt	xvbegektwhe	放齋	散學	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xpcvefpt7xt	xdezqh6ygfs	放晝	放學	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xbpdfafzpc6	x5nmcecurcd	放暝	傍晚放學	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xd3vcrzcqr5	x5nmcecurcd	放暝	下學	S			2025-05-16 16:54:20	2025-05-16 16:54:20
x6584wg6t2a	xbyxqa5jqsb	放假	放假	M			2025-05-16 16:54:20	2025-05-16 16:54:20
x7ncwh73c9m	xe6ebrn74fn	放炮仗	放炮仗	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xdnsndhmumj	xe6ebrn74fn	放炮仗	放鞭炮	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xz4dgzd6vv7	xfg28r8qhjx	放紙鷂	放風箏	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xtuu7wnmz9k	xfg28r8qhjx	放紙鷂	放紙鳶	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xt8hbdvgu3e	xzjgdhsske3	放花	放花炮	M			2025-05-16 16:54:20	2025-05-16 16:54:20
x2g8wjn76rh	xzjgdhsske3	放花	放煙火	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xaq9qtshuyx	xzjgdhsske3	放花	放焰火	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xgxhnjwfagk	xzjgdhsske3	放花	放煙花	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xtutfk2yuq8	xkcydsv5gpk	放銃	開槍	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xppjhmu2h39	xkcydsv5gpk	放銃	射擊	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xtfsa7bhc82	xkcydsv5gpk	放銃	放槍	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xe3ze9dxdj8	xhp9wccurky	放心	放心	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xz2sce5e45u	xdnnr8pan6q	腹	泡	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xqxhxv3m6y2	xdnnr8pan6q	腹	脬	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xddn4g86f8a	xrtfm3cabrh	腹老	肚子	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xyszkrrap8a	xrtfm3cabrh	腹老	腹部	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xfa5gpdkypu	xrtfm3cabrh	腹老	腹肚	M			2025-05-16 16:54:20	2025-05-16 16:54:20
x5t2g88q2rh	xrtfm3cabrh	腹老	學識	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xshbp8cbcc9	xrtfm3cabrh	腹老	知識	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xqw3jz4ug3x	xrtfm3cabrh	腹老	學問	S			2025-05-16 16:54:20	2025-05-16 16:54:20
x6z8g7bghfh	x59wvaq9u2b	腹老筋	腹裡	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xhpcqu7682k	x59wvaq9u2b	腹老筋	腸子	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xcwdbzn2vkk	xgkkexj5dyj	腹老尾	小肚子	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xrbpzp4rrzb	x6adqrc9bbw	腹臍	肚臍	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xqn864aq68j	xck27476y6d	腹腸	腸	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xz7c5pcxzbh	xck27476y6d	腹腸	肚子	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xuwa2jyt584	xck27476y6d	腹腸	心思	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xsg5d7mjrkh	xck27476y6d	腹腸	智慧	S			2025-05-16 16:54:20	2025-05-16 16:54:20
x7wv942bkhy	xck27476y6d	腹腸	學識	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xjth5md4qdx	xck27476y6d	腹腸	見識	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xau3dnmvg32	xck27476y6d	腹腸	學問	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xp4gxxsfrx6	xpcr632pxtg	腹老疼	肚子疼	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xvdj555b9n7	xfynxvb67v2	腹痧	絞腸痧	M			2025-05-16 16:54:20	2025-05-16 16:54:20
x3vjewsav9d	xha5c26d43j	腹肚	內臟	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xbwu7zvwtzs	xxvbd236gvj	腹老下	腹肉	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xbwnav4tmda	xr9jba8cufr	腹老裏	肚子裡	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xtgp7yzc673	xr9jba8cufr	腹老裏	心裡	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xem778u3mtx	xr9jba8cufr	腹老裏	內臟	S			2025-05-16 16:54:20	2025-05-16 16:54:20
x24pg8mfu4w	x8673s452d5	腹老枵去	飢餓	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xbfdvtt64m6	x8673s452d5	腹老枵去	肚子餓了	M			2025-05-16 16:54:20	2025-05-16 16:54:20
x3wyy4r6g5c	x8673s452d5	腹老枵去	餓肚子了	M			2025-05-16 16:54:20	2025-05-16 16:54:20
x3gyjekf7wn	x96w9wd5mv4	腹老空去	飢餓	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xs4b4a5gfqy	x96w9wd5mv4	腹老空去	肚子餓了	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xnefe8pxxbu	x96w9wd5mv4	腹老空去	餓肚子了	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xrxe9mk5tbw	xe3yxwh578a	腹老楻	肚腩	M			2025-05-16 16:54:20	2025-05-16 16:54:20
x85fy6yc73y	xe3yxwh578a	腹老楻	啤酒肚	M			2025-05-16 16:54:20	2025-05-16 16:54:20
x85vbds9x6b	xf23gumkfdg	抔	捧	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xzyb2jxtmax	xf23gumkfdg	抔	抔	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xr8g9y44f75	xf23gumkfdg	抔	捧	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xwkaswmzu59	xutdsevrf2y	福	福	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xnr4v3qcgkx	xutdsevrf2y	福	幸福	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xfsvup2yuz3	xutdsevrf2y	福	有福氣	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xvnge5xt7jw	xw2expw35pj	不見天	豬腹肉	M			2025-05-16 16:54:20	2025-05-16 16:54:20
x78sy9c6a9v	xg6dhr9hub5	不興	不興	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xqnn3g5kytd	xg6dhr9hub5	不興	不行	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xzpxj5fz2qx	xg6dhr9hub5	不興	不可以	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xcy2rdkc6ab	xrzcahhwh7c	不宗	不中用	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xg7f8jjm2rq	xrzcahhwh7c	不宗	沒出息	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xbvr54cgqt9	xhp4vrn6p27	卜卦	卜卦	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xg7emj944ne	xhp4vrn6p27	卜卦	占卜問卦	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xz7ga43snvm	xhp4vrn6p27	卜卦	推算吉凶	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xk5xbmdfx6c	xsvkgygjbve	卜僮	鬼神附體	M			2025-05-16 16:54:20	2025-05-16 16:54:20
x2ewp5wn9hv	xsvkgygjbve	卜僮	附體	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xf4bg9w2nhq	xsvkgygjbve	卜僮	附身	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xms6ggygz9g	xsvkgygjbve	卜僮	憑依	S			2025-05-16 16:54:20	2025-05-16 16:54:20
x9pc2c2jd9q	xsvkgygjbve	卜僮	手舞足蹈	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xbx3hua8ffk	xsvkgygjbve	卜僮	舞手畫腳	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xycgvh5gtx6	xsvkgygjbve	卜僮	舞手劃腳	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xbyejcb9nmh	xsvkgygjbve	卜僮	激動得跳起	S			2025-05-16 16:54:20	2025-05-16 16:54:20
x8cz3wefz6t	xsvkgygjbve	卜僮	暴起	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xs8vs977ecq	x8s9yp8e6uy	房裏	房裡	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xg2q5q3ne9m	x8s9yp8e6uy	房裏	房間	S			2025-05-16 16:54:20	2025-05-16 16:54:20
x3mx82a6qfk	x8s9yp8e6uy	房裏	房間裡	S			2025-05-16 16:54:20	2025-05-16 16:54:20
xba2arrkxtw	xrennzp9rsa	房桶	便桶	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xddcbjjaxjr	xdkca8p3axc	房下	女傭	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xqdmwhzb874	xafhe23wd9q	房頭大	家族大	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xuwcbcymacs	xafhe23wd9q	房頭大	大家族	M			2025-05-16 16:54:20	2025-05-16 16:54:20
xwn7f5jfhtb	xsu3eq78auw	房頭	家族	M			2025-05-16 16:54:21	2025-05-16 16:54:21
xpvcrwjyjrc	x2pcff55m7s	房頭嫩	小家族	M			2025-05-16 16:54:21	2025-05-16 16:54:21
x98g3sa4b7k	x2pcff55m7s	房頭嫩	家族小	M			2025-05-16 16:54:21	2025-05-16 16:54:21
xda3kkttb79	xy9u9htvy9k	縫扣門	縫中式紐扣	M			2025-05-16 16:54:21	2025-05-16 16:54:21
xu9nhse6wer	xy9u9htvy9k	縫扣門	縫紐扣	S			2025-05-16 16:54:21	2025-05-16 16:54:21
xncd4dwbv3u	xy9u9htvy9k	縫扣門	縫盤扣	S			2025-05-16 16:54:21	2025-05-16 16:54:21
xkbyved35ws	xy7f9s8nsf8	㖹	吹氣	M			2025-05-16 16:54:21	2025-05-16 16:54:21
xmafangff92	xy7f9s8nsf8	㖹	吹	S			2025-05-16 16:54:21	2025-05-16 16:54:21
xzvrvmuvg5b	xy7f9s8nsf8	㖹	排氣	S			2025-05-16 16:54:21	2025-05-16 16:54:21
xfdpghagn4d	xzn5rncv4sv	㖹筒	吹風筒	M			2025-05-16 16:54:21	2025-05-16 16:54:21
xrw3ys8x3gc	xzn5rncv4sv	㖹筒	吹火筒	M			2025-05-16 16:54:21	2025-05-16 16:54:21
xhr3n5b9ksx	xyqhaxgr3e9	㖹火	把火吹滅	M			2025-05-16 16:54:21	2025-05-16 16:54:21
x4w2cf7jd9p	xyqhaxgr3e9	㖹火	吹滅火	M			2025-05-16 16:54:21	2025-05-16 16:54:21
xqxkvna6es4	xyqhaxgr3e9	㖹火	吹滅	S			2025-05-16 16:54:21	2025-05-16 16:54:21
xuysqpbhswy	xyqhaxgr3e9	㖹火	吹熄	S			2025-05-16 16:54:21	2025-05-16 16:54:21
xrmfhvh5e58	xyqhaxgr3e9	㖹火	吹火	S			2025-05-16 16:54:21	2025-05-16 16:54:21
xe8j25hkhts	xfe6k3t7w8q	㖹風	吹風	M			2025-05-16 16:54:21	2025-05-16 16:54:21
xezmbnk5hcg	xfe6k3t7w8q	㖹風	透漏消息	S			2025-05-16 16:54:21	2025-05-16 16:54:21
xrukxmgq7tr	xfe6k3t7w8q	㖹風	透露消息	S			2025-05-16 16:54:21	2025-05-16 16:54:21
xzq5hhqywbv	xzaba76mqmy	笨	遲鈍	M			2025-05-16 16:54:21	2025-05-16 16:54:21
xn4qaff92ma	xzaba76mqmy	笨	愚笨	M			2025-05-16 16:54:21	2025-05-16 16:54:21
xmg5pasg3hx	xzaba76mqmy	笨	笨	M			2025-05-16 16:54:21	2025-05-16 16:54:21
xdyga76kag3	xzaba76mqmy	笨	鈍	A			2025-05-16 16:54:21	2025-05-16 16:54:21
xn62zp4yqvv	xw86gawnsfs	爆	煙熏	M			2025-05-16 16:54:21	2025-05-16 16:54:21
