id	text	expl_content	sandhi_pron	literal_pron	local_pron	locale	reference	status	word__id	word__text	note	updated_time	created_time
xguexdwrkje	萬八哥	指偷渡至美國發展的人‖萬八，即一萬八千；中國1970年代後，偷渡美國的費用初爲一万八千美元，故名	uang21 beik21 go55	uang242 baik24 go55			久岛. 一名纽约福州人讲述偷渡客的故事[EB/OL]. 美国之音, 2019-10-30. https://www.voachinese.com/a/ny-illegal-chinese-immigrant-story-20191030/5144592.html.	3rvd	xvczuqf8me9	萬八哥		2025-05-16 17:05:44	2020-02-15 00:00:00
xgad6dpzkts	開除	同普通話「開除」	kai55 ly53	kai55 dy53				3rvd	xb7yx659293	開除		2025-05-16 17:05:44	2020-03-27 00:00:00
xsktzkh3wsw	辭退	同普通話「辭退」	sy21 looy213	sy53 tooy213				3rvd	xpfamuhg2cq	辭退		2025-05-16 17:05:44	2020-03-27 00:00:00
xr85ruj5cef	網絡	同普通話「網絡」：～儥好	uong21 louk5	uong33 louk5				3rvd	x58ac6gas4s	網絡		2025-05-16 17:05:44	2020-03-27 00:00:00
xjtsh9zxvue	公司	同普通話「公司」	gung55 ni55	gung55 si55				3rvd	xeh7qsn965t	公司		2025-05-16 17:05:44	2020-03-27 00:00:00
x4p2987xu6f	行業	同普通話「行業」	oung33 ngiek5	oung53 ngiek5				3rvd	xwdww7qccc3	行業		2025-05-16 17:05:44	2020-03-27 00:00:00
xfuhdxmbvhe	外賣	同普通話「外賣」	ngui53 ma242	ngui242 ma242				3rvd	xz3s42ujsyz	外賣		2025-05-16 17:05:44	2020-03-27 00:00:00
x398ymww95d	做無算	指事情白做了	zo53 mo21 looung213	zoo213 mo53 sooung213				3rvd	x4c8s6qxy4t	做無算		2025-05-16 17:05:44	2020-03-27 00:00:00
xwfxrdecy8w	做空	指事情白做了	zo55 keoyng55	zoo213 keoyng55				3rvd	xmfsgr5fev2	做空		2025-05-16 17:05:44	2020-03-27 00:00:00
xtyrdk984fq	尾尾未	還早得很：儂家六點正食暝，這盤四點，～𡅏	mui21 mui55 mui242	mui33 mui33 mui242				3rvd	x5xw88bne9e	未𡅏未		2025-05-16 17:05:44	2020-03-28 00:00:00
x8s78hakg8e	蕃	蕃殖	huang55	huang55				3rvd	xa3ecyfd5jg	蕃		2025-05-16 17:05:44	2020-03-31 00:00:00
xw4kx3djbwj	目睭餌*	指小眼睛‖也可以說meik21 ziu53 nei213	meoyk21 ziu53 nei213	meoyk5 ziu55 nei213				3rvd	xeen6up22s9	目睭餌*		2025-05-16 17:05:44	2020-04-03 00:00:00
xs2ccdqqdea	羅經	羅盤、指南針‖也可以說lo55 yng55	lo55 ing55	lo53 ging55				3rvd	xf77hxcstby	羅經		2025-05-16 17:05:44	2020-04-03 00:00:00
xpq69hwpx23	盛	盛東西	sing53	sing53				3rvd	xv4d7swu3jw	盛		2025-05-16 17:05:44	2020-04-03 00:00:00
xsk8e2rghff	開含嫁店	含嫁店，傢俱店；開含嫁店喻指失業，因爲二者皆須終日與傢俱相伴‖含嫁，居家所需的設備器具、傢俱，舊俗結婚時傢俱由女方準備，作爲陪嫁，所以傢俱稱含嫁	kui53 hang21 nga53 laing213	kui55 hang53 ga213 daing213				3rvd	xb2mtempcz3	開含嫁店		2025-05-16 17:05:44	2020-02-13 00:00:00
xau5d8yd554	刣雞教猴	殺雞儆猴	tai55 gie55 ga55 gau53	tai53 gie55 ga213 gau53		mqig		3rvd	xnfec7y2wf8	刣雞教猴		2025-05-16 17:05:44	2020-02-13 00:00:00
xgzx2nrt2t6	無起稿	①不打草稿②形容一個人說話不需要打草稿，即口才好	mo21 ki24 go33	mo53 ki33 go33		mqig		3rvd	xwc99m5qbza	無起稿		2025-05-16 17:05:44	2020-02-13 00:00:00
xsrubk6ws2z	貼家庭	補貼家用	taik24 ga55 ling53	taik24 ga55 ding53		mnhu		3rvd	xwds8rskfph	貼家庭		2025-05-16 17:05:44	2020-02-13 00:00:00
x4zzwn6qpfr	復伓是	不是，用反問的語氣確認事實：伊～（不是）講無問題？	bu21 ing53 nei242	bou242 eing242 sei242		mnhu		3rvd	xynxku9h3mt	復伓是		2025-05-16 17:05:44	2020-04-10 00:00:00
xugujccpkzq	復伓是就是	不就是，用反問的語氣確認事實：嚽～（這不就是嗎）？	bu21 ing53 nei242 ziu53 lei242	bou242 eing242 sei242 ziu242 sei242		mnhu		3rvd	xj9hehbjmju	復伓是就是		2025-05-16 17:05:44	2020-04-10 00:00:00
xnep5vns87a	無行着	沒去過：㑚（如果）講世乇（什麼）地方汝～，也講「生摸摸（cang21 moh53 mooh24）」	mo21 giang55 duoh5	mo53 giang53 duoh5		mnhu		3rvd	xggscqrpjtf	無行着		2025-05-16 17:05:44	2020-04-10 00:00:00
xvyn3ec5dcm	無看着	沒看過	mo21 kang21 duoh5	mo53 kang213 duoh5		mnhu		3rvd	xn4ssd83yku	無看着		2025-05-16 17:05:44	2020-04-10 00:00:00
xkxas93cubr	儥看見	看不見	me21 kang53 ngieng213	ma242 kang213 gieng213				3rvd	xxpgahere73	儥看見		2025-05-16 17:05:44	2020-04-10 00:00:00
xbqpt9w6jsp	儥聽見	聽不見	me21 tiang53 ngieng213	ma242 tiang55 gieng213				3rvd	x98kuvy9xuz	儥聽見		2025-05-16 17:05:44	2020-04-10 00:00:00
xrbynvxetyh	雞卵花	花名，華語又稱「雞蛋花」	gie21 loung55 ngua55	gie55 looung242 hua55		fzho		3rvd	xu5w2vdxdn5	雞卵花		2025-05-16 17:05:44	2017-12-30 00:00:00
x3kt7t2kgjp	石頭	岩石	suoh55 lau53	suoh5 tau53				3rvd	xbz92rterx8	石頭		2025-05-16 17:05:44	2017-12-30 00:00:00
xrv9pnxg36v	鼓山骹	鼓山腳	gu21 lang55 ka55	gu33 sang55 ka55		fzho		3rvd	xmhgy9d28b9	鼓山骹		2025-05-16 17:05:44	2017-12-30 00:00:00
x7xrzfe5hq5	社會主義學院	福州公交車站名，因福建省社會主義學院得名	sia21 ui21 zuo55 ngie242 houk21 ieng242	sia242 hui242 zuo33 ngie242 houk5 ieng242		fzho		3rvd	x3rxuvwcbmq	社會主義學院		2025-05-16 17:05:44	2017-12-29 00:00:00
x9cptgpbjqm	前骹	前蹄	seing55 ka55	seing53 ka55		fzho		3rvd	x7rnyyzff5c	前骹		2025-05-16 17:05:44	2020-10-03 00:00:00
xxj2japu2ae	火氣	火氣，中醫術語：～野大（某食物易上火）	hui55 kei213	hui33 kei213		fzho		3rvd	xcmwzym5evc	火氣		2025-05-16 17:05:44	2017-12-29 00:00:00
xmg9kauhg5u	野脬	愛吹牛，愛講大話：這隻儂～	ia21 pa55	ia33 pa55		fzho, fuqi		3rvd	x7jt3zugmh8	野脬		2025-05-16 17:05:44	2020-04-11 00:00:00
xpq4p46wcdq	塞塞	塞住瓶口的東西‖不塞進瓶口的叫「㪠㪠」「蓋蓋」	seik21 seik24	seik24 seik24		fzho, mnhu		3rvd	x9z2gvmgdwk	塞塞		2025-05-16 17:05:44	2017-12-29 00:00:00
xweakx4nx99	冰淇淋	一種冷凍的甜品，通常以鮮奶油或奶油等乳制品爲原料	bing21 ngi55 ling53	bing55 gi53 ling53		fzho		3rvd	xk8ufj8d57r	冰淇淋		2025-05-16 17:05:44	2017-12-29 00:00:00
xbyh8ksjufj	冰棕	錐形冰淇淋	bing53 njooyng213	bing55 zooyng213		fzho		3rvd	xm2u5v4s2fn	冰棕		2025-05-16 17:05:45	2017-12-29 00:00:00
xpbgda2vpjq	飲料	經過加工，供飲用的液體	ing55 lau242	ing33 lau242				3rvd	xx759pefmac	飲料		2025-05-16 17:05:45	2017-12-29 00:00:00
xhekueaxrfu	蝦油味	蝦油的味道	ha21 iu21 ei242	ha53 iu53 ei242		fzho		3rvd	xptygenjm8d	蝦油味		2025-05-16 17:05:45	2017-12-29 00:00:00
xfjuwut95rq	甜粿	年糕	dieng53 ngui33	dieng55 gui33		fzho		3rvd	x3du6mpcur3	甜粿		2025-05-16 17:05:45	2017-12-29 00:00:00
x72kjeq6y7x	犬吠	①犬吠②指人胡說八道，同普通話「放屁」	keing55 bui242	keing33 bui242				3rvd	x4ww329fdpx	犬吠		2025-05-16 17:05:45	2017-12-29 00:00:00
xu5p9ztsa4x	犬母貨	①罵母狗②罵婦人	keing21 mo55 uo213	keing33 mo33 huo213				3rvd	xq8hwe8w2dc	犬母貨		2025-05-16 17:05:45	2017-12-29 00:00:00
x5n8qyzhk68	雞腿	食物，雞的腿部	gie53 leoy33	gie55 teoy33		fzho		3rvd	xj8mqq8hnt2	雞腿		2025-05-16 17:05:45	2017-12-29 00:00:00
xjjtwsrdx4r	尾翅	尾骨：豬其～（豬尾骨）	mui55 jie213	mui33 cie213		fzho		3rvd	xhpsm445j37	尾翅		2025-05-16 17:05:45	2017-12-29 00:00:00
xgu848m2fwt	塞儥裡	①塞不進去：～去（了）②喫不下：食飽了？——～去（了）	sik21 me53 lie33	seik24 ma242 die33		fzho		3rvd	xxdy6m2ggss	塞儥裏		2025-05-16 17:05:45	2017-12-29 00:00:00
xu3fwdwb5zc	火鍋	以水或湯導熱鍋來涮煮食物的烹調方式‖又讀huo21 guo55	hui21 guo55	hui33 guo55		fzho		3rvd	xk52gm58p4b	火鍋		2025-05-16 17:05:45	2017-12-29 00:00:00
xzx83rjr28w	濛濛雨	蒙蒙細雨	mung21 mung53 ngy33	moung213 moung213 y33				3rvd	xta2d7378vr	濛濛雨		2025-05-16 17:05:45	2020-04-11 00:00:00
xyptqhxybx8	觸*	藤壺‖又寫作「𧋥」	ceoyk24	ceoyk24		liji	屠本畯. 閩中海錯疏[M]. “𩽳魟鱼，背厚长，有𧋥，大者二三斤。”	3rvd	xzcphesz45w	䗩		2025-05-16 17:05:45	2020-04-11 00:00:00
x6dbp3ax4j4	𬠖	凸壳肌蛤‖又寫作「螊」	nieng53	nieng53		liji		3rvd	x6v4wvww2kb	𬠖		2025-05-16 17:05:45	2020-04-11 00:00:00
xf2j6qncjxy	大骹袋	招潮蟹‖末字含義暫不明	duai21 a53 looy242	duai242 ka55 dooy242		liji		3rvd	x66scbcnney	大骹袋		2025-05-16 17:05:45	2020-04-11 00:00:00
xjfevtskmxh	風蚊袋	蟾蜍	hung53 muong21 nooy242	hung55 muong53 dooy242	hung55 muong21 nooy242	liji		3rvd	xjfpkrk9e88	風蚊袋		2025-05-16 17:05:45	2020-04-11 00:00:00
xx9xhyfkwuq	寄爬生	寄居蟹	gie55 wa55 lang55	gie213 ba53 sang55		liji		3rvd	xsju25gm6fq	寄爬生		2025-05-16 17:05:45	2020-04-11 00:00:00
xda95489s6a	五骹馬	海星	ngu21 a53 ma33	ngou242 ka55 ma33		liji		3rvd	xg3tqc7xe9q	五骹馬		2025-05-16 17:05:45	2020-04-11 00:00:00
xmjdj64vz5e	江珧柱	江珧，連江本地直接借用其闢殼肌的乾製品（乾貝的一種）名稱來稱呼這種貝類	goung53 ngiu21 jeoy242	goung55 iu53 zeoy242		liji		3rvd	x4cha9yxrfn	江珧柱		2025-05-16 17:05:45	2020-04-11 00:00:00
x6qr6vhbwfc	蒜囝	蒜之俗稱	soung53 ngiang33	sooung213 giang33			福州传统宴会的礼俗和禁忌[EB/OL]. 新浪旅游, 2009-07-13. https://travel.sina.com.cn/china/2009-07-13/104595147.shtml.	3rvd	xtu7dwpvu6z	蒜囝		2025-05-16 17:05:45	2020-04-11 00:00:00
x9pjzudrust	蠣囝	蠣之俗稱	die53 iang33	die242 giang33			福州传统宴会的礼俗和禁忌[EB/OL]. 新浪旅游, 2009-07-13. https://travel.sina.com.cn/china/2009-07-13/104595147.shtml.	3rvd	x4cfk9wdtvb	蠣囝		2025-05-16 17:05:45	2020-04-11 00:00:00
xcqwek4xhvn	弟囝	小孩子	die53 iang33	die242 giang33			福州传统宴会的礼俗和禁忌[EB/OL]. 新浪旅游, 2009-07-13. https://travel.sina.com.cn/china/2009-07-13/104595147.shtml.	3rvd	xdmwrvnrxj7	俤囝		2025-05-16 17:05:45	2020-04-11 00:00:00
x9vavjvvr5m	香港客	定居香港的福州人	hyong21 ngeoyng55 kah24	hyong55 geoyng33 kah24			久岛. 一名纽约福州人讲述偷渡客的故事[EB/OL]. 美国之音, 2019-10-30. https://www.voachinese.com/a/ny-illegal-chinese-immigrant-story-20191030/5144592.html.	3rvd	x8jtkkhbq2c	香港客		2025-05-16 17:05:45	2020-04-12 00:00:00
x99yqvswxr8	美國客	定居美國的福州人	mi21 uok55 kah24	mi33 guok24 kah24			久岛. 一名纽约福州人讲述偷渡客的故事[EB/OL]. 美国之音, 2019-10-30. https://www.voachinese.com/a/ny-illegal-chinese-immigrant-story-20191030/5144592.html.	3rvd	x2z7teyf9kp	美國客		2025-05-16 17:05:45	2020-04-12 00:00:00
xamcjpfnrmm	萬八嫂	指其丈夫偷渡至美國發展的女子‖萬八，即一萬八千；中國改革开放後，偷渡美國的費用初爲一万八千美元，故名	uang21 beik24 so33	uang242 baik24 so33			久岛. 一名纽约福州人讲述偷渡客的故事[EB/OL]. 美国之音, 2019-10-30. https://www.voachinese.com/a/ny-illegal-chinese-immigrant-story-20191030/5144592.html.	3rvd	x4srvpn4u3u	萬八嫂		2025-05-16 17:05:45	2020-04-12 00:00:00
x5fdsk8w4vx	十九痞	二十世紀末期他校學生對福州第十九中學學生的非正面稱呼	seik21 gau24 wai33	seik5 gau33 pai33				3rvd	xv5jhrjmy7z	十九痞		2025-05-16 17:05:45	2020-04-12 00:00:00
xyc3udtxzk4	腹老楻	肚腩，啤酒肚	buk21 lo21 kuong53	bouk24 lo33 kuong53				3rvd	xe3yxwh578a	腹老楻		2025-05-16 17:05:45	2020-04-13 00:00:00
x9v4j8fusjq	臺三空	二十世紀七八十年代對福州第三十六中學的蔑稱；「臺」是因爲三十六中位於臺江	dai21 sang55 keoyng55	dai53 sang55 keoyng55				3rvd	xbt7ybavvh7	臺三空		2025-05-16 17:05:45	2020-04-13 00:00:00
xxa3bnkgmdb	廿三空	二十世紀七八十年代對福州第二十三中學（後爲福州文教職業中專學校）的蔑稱	niek21 sang55 keoyng55	niek24 sang55 keoyng55				3rvd	xwmg2ef3cbj	廿三空		2025-05-16 17:05:45	2020-04-13 00:00:00
x94rn455cc6	蟹	泛指小型螃蟹	ai33	ai33		liji		3rvd	xdc5sdxy7ag	蟹		2025-05-16 17:05:46	2020-05-24 00:00:00
xe58gr3dqk6	峽北	地名，在烏龍江大橋倉山一側橋頭附近	heik21 booyk24	heik5 booyk24				3rvd	xdftntjdbzf	峽北		2025-05-16 17:05:51	2020-09-23 00:00:00
xjurba4ayyr	下蜀站	下一站：～，狀元境，貿總酒店	a53 loh21 jang242	a242 suoh5 zang242	a53 loh21 jiang242	fzho	维基百科编者. 福州地铁[G/OL]. 中文维基百科, 2016-06-20[2020-04-15]. https://zh.wikipedia.org/w/index.php?title=%E7%A6%8F%E5%B7%9E%E5%9C%B0%E9%93%81&oldid=40525393.	3rvd	x56wdshrz5b	下蜀站		2025-05-16 17:05:45	2020-04-15 00:00:00
xktnnqgn9jq	犬食雞	二十世紀末快餐連鎖店「肯德基」進入福州時產生的謔稱	keing21 sieh55 gie55	keing33 sieh5 gie55		fzho		3rvd	xghzv6hybhr	犬食雞		2025-05-16 17:05:45	2018-04-05 00:00:00
x5fynzbjyg4	正大廣場	地名，在福州	zing53 dai242 guong21 duong53	zeing213 dai242 guong33 duong53		fzho		3rvd	xpqayt2j55p	正大廣場		2025-05-16 17:05:45	2020-04-15 00:00:00
xx3qrndpdde	光明橋	地名，在福州：～站	guong55 ming55 ngyo53	guong55 ming53 gyo53		fzho		3rvd	xc2kerevxjm	光明橋		2025-05-16 17:05:45	2020-04-15 00:00:00
x3hegnnw8tn	狀元境	境名，在福州	zoung53 nguong33 ging33	zooung242 nguong53 ging33		fzho		3rvd	xugfsmytjmy	狀元境		2025-05-16 17:05:45	2020-04-15 00:00:00
x4pcjvs2v58	貿總酒店	舊酒店名，在福州	mau53 zung33 ziu55 laing213	mau242 zung33 ziu33 daing213		fzho		3rvd	xjd9nv4hzpq	貿總酒店		2025-05-16 17:05:45	2020-04-15 00:00:00
x4yb6kc79cn	相聲	一種民間說唱曲藝，以說、學、逗、唱爲形式	suong55 niang55	suong213 siang55				3rvd	xhb8ndqzybm	相聲		2025-05-16 17:05:45	2020-04-16 00:00:00
xmvjrxsretf	當選	於競選中獲得合於法定的多數票而中選	doung53 soung33	doung55 soung33				3rvd	xmv6vv5ywqr	當選		2025-05-16 17:05:45	2020-04-16 00:00:00
x9dwfm2pj6k	儂前	衆人面前	neoyng55 neing53	neoyng53 seing53			李纾. 论闽方言及其演变[J]. 浙江大学学报: 人文社会科学版, 2003, 33(3): 71.	3rvd	xrrdzt2usvd	儂前		2025-05-16 17:05:45	2020-04-16 00:00:00
xbaaty3sety	儂裡	別人家裡	neoyng33 nie33	neoyng53 die33			李纾. 论闽方言及其演变[J]. 浙江大学学报: 人文社会科学版, 2003, 33(3): 71.	3rvd	xp5jtxnh2yh	儂裏		2025-05-16 17:05:45	2020-04-16 00:00:00
x5t84bhjrrx	行船	駕駛船隻：海𡅏（裏）～靠老婿（木船上的船老大，轉爲倨稱）	giang55 sung53	giang53 sung53				3rvd	x3k5vdceu8t	行船		2025-05-16 17:05:45	2020-04-16 00:00:00
xaenuekxgem	發大	①（植物）長大②（痤瘡）變大③有時也指人的長大：伊發野（好）大去（了）‖不能用於動物	buok55 duai242	buok24 duai242				3rvd	x8ngure8wf6	發大		2025-05-16 17:05:46	2020-04-16 00:00:00
xpmwevjaun9	會仈寅卯	明白事體：～？汝（你）會仈（懂）寅共卯？	e53 baik24 ing33 mau33	a242 baik24 ing53 mau33		mnhu		3rvd	x9z4hdxvsjq	會仈寅卯		2025-05-16 17:05:46	2020-04-16 00:00:00
xfzued5tpda	發懸	長高‖不能用於動物	buok21 geing53	buok24 geing53		liji		3rvd	xvayb3bpckv	發懸		2025-05-16 17:05:46	2020-04-16 00:00:00
x99mkyg8krq	生肉柱	長痤瘡：面𡅏～	sang21 nyk53 tiu242	sang55 nyk5 tiu242		mnhu		3rvd	xk7aex333ns	生肉柱		2025-05-16 17:05:46	2020-04-16 00:00:00
xxv9hkdfjfd	鼎𢯽	鍋刷‖該詞在連江部分地區常指代絲瓜	diang55 njoo213	diang33 coo213		mnhu		3rvd	xcewu93t2tr	鼎𢯽		2025-05-16 17:05:46	2020-04-17 00:00:00
x79zs62paka	過繼	認領兄弟或同宗親戚之兒子爲自己後代	guo53 ie213	guo213 gie213		mnhu		3rvd	xtcw5vpmyv5	過繼		2025-05-16 17:05:46	2020-04-17 00:00:00
xeqy64qz72u	儥蜀樣	不一樣：「道」共（和）「掏」～（此句指兩字讀音不一樣）	me53 loh21 yong242	ma242 suoh5 yong242		mnhu		3rvd	xgc3qpmf7kv	儥蜀樣		2025-05-16 17:05:46	2020-04-17 00:00:00
x76uqxvhvun	鄉長公	鄉長，舊時一般由鄉裡百姓推選年齡最大，聲望最高的長者擔任	hyong21 nuong21 ngung55	hyong55 duong33 gung55		liji		3rvd	xvhvp2y5gnt	鄉長公		2025-05-16 17:05:46	2020-04-17 00:00:00
xc3e396rfu9	柱聯	對聯。雖曰「柱聯」，唯不局限於寫在柱子上與否	tiu55 lieng53	tiu242 lieng53		liji		3rvd	xxsva57e6gr	柱聯		2025-05-16 17:05:46	2020-04-17 00:00:00
x4j3b2c7kb8	畝	市畝的通稱：塍（水田）三～	meu33	meu33		liji		3rvd	xry7rkdz5nf	畝		2025-05-16 17:05:46	2020-04-18 00:00:00
xkvp2ppgf5m	粟麴	即鼠麴草，一年生草本植物，葉子互生，匙形或條形，有柔軟的白毛，頭狀花序，花黃色。本地於清明時常采集做餅食‖前字本字或爲「粟」，與「麴」字共同表示其花朵顏色、形態	cuo53 eoyk24	nan		liji		3rvd	xyzc9gx48g8	粟麴		2025-05-16 17:05:46	2020-04-18 00:00:00
x33h4yg9bys	公婆桌	一種狹長的桌子，多放在廳堂的正面，擺放香爐等用	gung53 mo21 looh24	gung55 bo53 dooh24				3rvd	x2bswhypbku	公婆桌		2025-05-16 17:05:46	2020-04-18 00:00:00
xgv9wts68gg	天明日中	白天	tieng21 mang21 nik55 doung55	tieng55 mang53 nik5 doung55				3rvd	xkzdvxasw86	天明日中		2025-05-16 17:05:46	2020-04-24 00:00:00
xtqhuu4ndyr	共囝	養孩子	geoyng53 ngiang33	gooyng242 giang33				3rvd	xub6n4sxfp5	共囝		2025-05-16 17:05:46	2020-04-28 00:00:00
xf96f9gyk27	泉	泉水‖白讀	siang53	siang53				3rvd	x4edzb9hk5h	泉		2025-05-16 17:05:46	2020-05-11 00:00:00
xxay2c5fwxw	俥々環	轉圈圈	cuo55 luo55 kuang53	cuo55 kuang53		fzho		3rvd	x96gb257xrq	俥々環		2025-05-16 17:05:46	2020-05-16 00:00:00
x2e28we749d	尾梨糕	糕點，色透明，清甜軟潤，富有彈性，生津解渴	mui21 li55 o55	mui33 li53 go55		fzho		3rvd	xbcsx5hr4e7	尾梨糕		2025-05-16 17:05:46	2020-05-16 00:00:00
xtxf7qmxva2	水星	指因海中夜光藻類在夜間受刺激時產生的發光現象	zui21 ling55	zui33 sing55		liji		3rvd	x4zhyhfn7cu	水星		2025-05-16 17:05:46	2020-05-17 00:00:00
xpf8v26rvw6	水平	①指與鉛垂線垂直的；跟水平面平行的②在某一方面達到的高度‖俗讀zui21 wang53	zui21 wing53	zui33 bing53		fzho, mnhu		3rvd	xphjzefkdqn	水平		2025-05-16 17:05:46	2020-05-17 00:00:00
xv7pasfcmeb	比手劃骹	指手劃腳	bi24 jiu33 uah5 ka55	bi33 ciu33 uah5 ka55				3rvd	xt8ryf7ewcq	比手劃骹		2025-05-16 17:05:46	2020-05-17 00:00:00
xeykfp3an3p	廈門航空	航空公司名	a55 muong53 houng55 kung55	a242 muong53 houng53 kung55				3rvd	xcjakx6phhk	廈門航空		2025-05-16 17:05:46	2020-05-17 00:00:00
x6apgh2dfzq	廈航	廈門航空的簡稱	ha55 houng53	ha242 houng53				3rvd	xzdmwft8frr	廈航		2025-05-16 17:05:46	2020-05-17 00:00:00
xpqh27hcvm3	紅尿水	赤潮，一般伴隨著海中夜光藻類在夜間受刺激時發光的現象	eoyng21 niu53 zui33	eoyng53 niu242 zui33		liji		3rvd	xmcn8swu6qw	紅尿水		2025-05-16 17:05:46	2020-05-24 00:00:00
xs3hcd99y5e	水汁	赤潮，一般伴隨著海中夜光藻類在夜間受刺激時發光的現象‖特指無毒赤潮可說「水汁好」	zui55 jaik24	zui33 zaik24		liji		3rvd	xepjdyyg9y2	水汁		2025-05-16 17:05:46	2020-05-24 00:00:00
xnbscqq2sjm	露螺	蝸牛，因多見於南風天潮濕天氣或潮濕有露水地帶得名	lu55 leoy53	lou213 leoy53		liji		3rvd	x45vh5su9kc	露螺		2025-05-16 17:05:46	2020-05-24 00:00:00
xaj26b2xegr	金鳳	即鳳仙花，一年生草本植物。花形宛如飛鳳，頭翅尾俱全，故名。可作染色用	ging53 moung242	ging55 poung242		liji, fuqi	冯爱珍. 福清方言研究[M]. 北京: 社会科學文献出版社, 1993: 177.	3rvd	x9cumqn6pp4	金鳳		2025-05-16 17:05:46	2020-05-24 00:00:00
xrfdkmdrkps	黃梔	即梔子，多年生灌木，花白色，有濃郁芳香，果近卵形，黃色或橙紅色，有翅狀縱棱，宿存萼裂片較長	uong55 gi55	uong53 gi55		liji		3rvd	xep9r6ruzn4	黃梔		2025-05-16 17:05:46	2020-05-24 00:00:00
xqp6f7ej9xa	梔	「梔」字破讀：黃～（梔子）‖閩南亦有地區將此字讀若/ki/	gi55	gi55				3rvd	xkxfuwjz7x5	梔		2025-05-16 17:05:46	2020-05-24 00:00:00
xsm3h48f9t8	鳳	「鳳」字破讀：金～（鳳仙花）	poung242	poung242			冯爱珍. 福清方言研究[M]. 北京: 社会科學文献出版社, 1993: 177.	3rvd	xednvwu2yzq	鳳		2025-05-16 17:05:46	2020-05-24 00:00:00
xgesj8sfbkc	爪	量詞，表示一長串物品：鑼盆（盆）裡勢（裡）有五～粽	zau33	zau33		liji		3rvd	x9bnhz8fmva	爪		2025-05-16 17:05:46	2020-06-05 00:00:00
xn2jzma4fcq	飲	澆灌‖多指人爲澆灌作物，而淋雨等自然行爲多用「沃」	ang242	ang242		liji		3rvd	x7757pf3sdf	飲		2025-05-16 17:05:46	2020-06-05 00:00:00
xdaef8dzqsp	正宗	傳統的，主要的，正統的	ziang55 zung55	ziang213 zung55		fzho		3rvd	xzepa2grbxd	正宗		2025-05-16 17:05:46	2020-06-05 00:00:00
xbz4sghynkq	山東	政區名，在華東	sang55 neoyng55	sang55 deoyng55		fzho		3rvd	xth6u6eyxh7	山東		2025-05-16 17:05:46	2020-06-05 00:00:00
xy64k3e38v2	合肥	安徽省會‖也有人讀作hak33 pi53	hak33 bui53	hak5 bui53		fzho, mnhu		3rvd	x3zy89py988	合肥		2025-05-16 17:05:46	2020-06-05 00:00:00
xr4pk6eexvg	黑龍江	政區名，得名於同名的江，在華東北	heik21 lyng55 geoyng55	haik24 lyng53 geoyng55		fzho		3rvd	xzc4yepvq35	黑龍江		2025-05-16 17:05:46	2020-06-05 00:00:00
