id	md5	yngping	speaker	note	updated_time	created_time
xdtm6ker6n9	0fe987e94f0d583c22508255a8c66873	hung53 sak24	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xjsu7pvq3rn	04712ef0bf75e0ed52b5183de622a166	hung53 ngyong213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xawp6p7df4a	542d871865366e6111858654c585bb65	hung53 ngiang33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x4wvw9n2b79	75a8ff8ecb9d537157265e97535991d3	duai55 ung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xud48x3km7z	ed8a39be0d9c581ba69d01afc7e90004	siu21 ung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x93rzuugce6	fc8bd2e6c6719592b5d8f6155670d54b	hung55 ia55 lau213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xh4s8drutk2	ef3c486bf0be282000aedb63b3eead0a	ki21 ung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xhzgeddmwrg	6bdf5c8200362e0856c6841a8681209c	cui55 ung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xzn7db6w4wt	41871620b9cf58fd6a419ff329c343aa	pah55 ung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xh72ghp5ru2	81a743ab218fa37b6b1e1f1abadd37e4	pah55 ung55 zo53 woo213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x9ksh8wjg88	c8e94c4d07f5d26092ff8d5a7a61d4fd	pah53 boo213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x5fs8jv2ekp	d7c949ea89b17341f77fd622b7420781	ki55 woo213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xxwhnqhfsge	64e7a2cf1248c4f21c5e7be67437d9af	hung55 nai55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xbmpzgqmg68	80fd3fc9dbe774df07fff6282d701780	hung21 nai53 ei213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xd2fbb3nejp	126b77c2c35daf97616c1728f2be91e9	hung21 nai53 iang33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xjfznb6s945	40f79a8494657857833f53debc692d06	zo21 hung55 nai55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x2kenj8s5dm	067c5e503087de8ade5877ab8dcc0f38	hui33 nang53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xcst78ashj2	6a0510685011d00decff897d8951200c	nang55 ngung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xdajnw89vym	3d2c099a3c09811494ce0974f8164bf4	cuo55 leoy55 ung53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x9uqx4sn9na	22e117a71d3cabd761770989c50d9078	cuo55 leoy55 ung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xs5chbk8nch	29280ce7a3f3f21aff0fb1e0cd159ac3	lyng21 uong21 ung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xuaw75p7ewz	bb4d18b10d1d1e16c2af099cb96c0ba8	guong21 leoy55 ung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xphex9ewtfj	8d0ad3535eed0380e7059cfaa87f1eeb	sung55 ngung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xwtqewssqvz	9778a9a4f73a272680d4ceb9e064a7d5	ngik5 hung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x25a5vtj9mx	89949b5d4f2e686e939d854d75079f44	deoy55 jyng55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xy65uted3cg	a58fbffde70975ed43527aa435b61fb1	deoy21 ming55 ngung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x83fjq4c532	2270c5182baa29a4751f954ff0435c22	uo21 hung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xjbjtntaheb	a65e7cc948d58992eba77a2327c5af72	de55 ung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x5ff72txu4p	3441bc36aaaed710db5da91f13577e58	huk21 huk21 giu213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xzkxxn3f65f	d4ea00b254826ec1c2465c6a9199322c	hung55 ding53 ngo0	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xas3hwwx5a6	1b30428b8cae9cc7ddbb14a617cdc34c	u55 hung53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x9xthvxcna6	36ea344bf5563df5c14a07b995cdeab0	u21 ung21 heik55 ang213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xgqtr7q3cnf	a2c43af6cd14ffabc032891effbf0f13	leoy55 bieng55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x4vpbtpu4uc	be05ae1108822d0e0492e2038e02f9e0	lai55 ung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xvkvf2sw2m7	40f07e3dc6334f839ac78ee9c29ce1e9	lai55 ung55 zieng55 ngo0	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x8ug5543urp	d31f5e0a5841a1c18d8ad694ed3ba035	lai55 ung55 hyong33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xzrramkrnpx	b5bdf46b4e42341624311a23c4c74987	lai55 ung55 pah24 go0	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xvr3v654p6y	82074c35f999e5598ef9239e1167d2dc	niak55 niang213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x24kg82ndvm	1aac144edb9809e68ba78ea964c2329f	pah21 niak55 niang213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xjzfazm8z69	22a50b1bfac47bbe9cae4a584aaee4ef	dooung242 soh21 zak24	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xddqg38m8c9	335455bb803d3c734c4a7388b5fe2beb	doung21 buo55 li53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xwymxkpdpgj	1878c65437d2314c19cfb3f5539ef5ae	doung21 ngy24 iang33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xm2y5cdyp84	9e813db988fe8d8016f6b2bbb2731898	buo55 li53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xbaqtddr2n5	639e9de2dbe75eede90adfd70c162a4e	buo53 li33 y33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xkyy42utneg	f599ab0bde89bfa061cf4b1f835077a1	guo53 ung33 y33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xvxrcmxj725	bedaa4445a6ed36856a1823b9b3ef528	y24 iang33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xew7zkt2ypu	c224b70ccdc9c9b4854f46647488d2af	y21 mo55 le55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xk6zdyf4zqx	3d9a8cd1b08982e575c2c28be17b0eb4	y55 moung213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xp75au6enrc	c986a2460d06d7f8fbf9410a463e7fba	huo21 lau53 leik24	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x4skj3ddcs4	290a39c4b2a3bcc6193d83b3a065296d	deik21 deik5 loh5	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xc6vkb37tdd	c0fdcd5072caeda2f0caa34955867a61	duai53 y33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xhjn3cw6eu7	eb3ab7682eb359322ddad549ddbc38ab	hung21 mo53 y33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xvpnzv99rhx	8b485dbfdc1d8034bb5b1e579aefb5a3	giu24 y33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xe83mxfeajf	aae4b997608b4238bab29fef5e463916	y33 sak24 go0	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xc8ft9hspj6	8c03759e44f067df7397ac4393d7f662	y33 mo53 lau33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x6u79s3s8qa	4774361cdcda42748e21df4dcdbe2f72	uoh53 y33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x66kptp6747	4072ba6e23dfda046f525ee34bbcf9a4	cuk5 keoyng242	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xbjm8ewapq6	ff905c5fe9d7052a6f76a0b94896ce18	bing53 deoy242	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xhpqnrjjh4u	1f2969adadbc3616e344a3a2282afd16	giek21 bing55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x4es5qvk236	ae17f0e9955d550273e46297eae987e5	bing21 noung53 nooyng213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xvunz6af448	56f0ac1e6855296f5374e9b555e21c4f	bing55 peoyk5	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xpkcfk2j2st	bd8e0846ced90983018266073bb74d0b	doung53 peoyk5	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xpnautt25wd	ed44b7d2be1da0fcad8f4127c3f5a860	loh21 suok24	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xkujuu8c2vt	7a3c4af529cf95c7f5ec6b484c009393	doung53 suok24	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x3swzu52jqs	cc878df26c5852e50be8234572ee590e	ngie21 mo21 suok24	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x26bbfwr7jm	de254de406f0a76222e016e0604e0603	mi55 suok24	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x4t6e98eyt7	02313d94f27161f4d742559aeec79778	y33 eik5 suok24	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xnmk7bpdtb8	5d313af8f64cd8443ec60f10714a1ac5	lu53 zui33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xtq6jkutcqn	579be7c31eba115e2ecb7e8b778acc36	u53 lou213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xa333hn7bh3	b2613d572a7dba67b6e2088000de0cac	loh21 lou213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xfgbncpnkpy	a3ef23cd53809436442eed6f29fd0833	loh5 soung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x3b3tkcmm6m	9b5e4990df49f978f9edd894b5c9baf8	loh33 muo53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xb4myxvkcnf	d5927c285bb55d814731768e76ddd54b	tieng53 naik24	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x5ne4nmkzvs	0ab7c8c53ea38635567ca457dafe6774	tieng53 nga242	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xg74prpvs4u	a66ab881fc535b1aa6d026fbda03b340	tieng53 dei242	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x9a53qx7bys	bdf6987d8bffb70bb3197585a56aa7ba	tieng55 noung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xc833hbw4dc	2d1240ec1dbc90682d2a6c62c283bad4	ho21 lieng55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xkcavyfamxe	cc9f7a7f8e98325995f57421224c705c	tieng55 sang53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xemanz39akz	e944eae01a5bab02aca13c4ef6ab9a02	nang21 ngung55 nieng55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xhpcybbpfr2	a44db8e140053d2d020938c74a05831a	ngai55 lieng55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xm3da2me854	7e34bab7159bf9dfa925070ff864c52a	tieng55 ngai53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xke6na64dvf	3435db20fa00b4a5a4dfb5e5bd122ef1	tieng55 u53 ang213 ngo0	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x3ufgn22bs8	df0a6d369f636e59b32db14ec4c95fc4	u55 ang213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x378acu8rq4	4ae1d27d80b3d1fb8e107afd5a4dfb72	eing21 ngu55 lieng55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x37ebhbefz7	c4835b15bb78b7974a19673fd40f9a9b	lang21 nung55 nieng55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xm8bggjzq63	081f68b9cc10e27137ee7b3cbc961a03	lang53 noung213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x8x5a7fysjy	5ac3399f5b457e3ebb06e97e0a630f5d	tieng55 zo53 bieng213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xe4t7ympp6y	890b1597756a31b03d9df377b02a5052	tieng55 iek5	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xc8buph2drw	5b287a0fcd077685701c942a1091e2ac	tieng55 noung21 noung21 ngiek5	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xn4eb69gx3s	10ade5bf4415510f41c054b2479a1135	buang21 ang21 buk24 noung33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xg6pusj8end	19652e349d16d7ab5ea136ddcd541fdf	tieng53 ceing213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xphrwv2nvnh	51610a93aedbf88a2857417a82168c5c	sang55 huk5	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x8h2wh3k659	3f740760899543f92d0332a2da0312f0	ik33 huk5	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x4fga92ayuf	27f25bf9a38fe3a963ffbd5c99a4d89c	cu55 huk5	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x96uzzssddn	521c6e3a62acf25b29e5ef6c435fe659	dyng55 huk5	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x4gncg4zwea	707294d042a537fddb5ad5cc23187d09	moh55 huk5	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x4cuk7j3pz4	356703f8c75ab11c328f35b50516ed3a	ciu53 hooyng242	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xrzrh74jqde	fa11d0de3f85ab897590c7f9b1d29331	zo53 ang242	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x7xd9b8rnx2	3ae04747d0c6b174f00e85870571cd22	tieng55 zo53 ang242	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x773brbhzuh	e8af081096a41b72c74499d53367970d	nung53 ngei213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x9ef9v7f6u8	eeff67a1ecfc2006a785004b5a85d2a2	hui21 noung213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xwfqdbx545k	6ad2bbea7bedee272796a82c81a6063b	duong55 noung213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xqjzm4qvpky	0bf774272fd546e7264abf7780f0bd43	duong21 nung55 nieng55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x5p4utau72x	f78ae407a6cffa2861f55d27e7c3273c	sy21 lia53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x7snjqm2fqe	a54724cd2e39995b9c0bd23575707596	sy55 kei213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xbcnzkqnamf	9ef7bc65f6ae419b69927bdf0435966b	di55 ngu53 duong21 ngieng55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xjc4xe9mnuc	661650eb692d5ccb115abfd24bb1daa0	huong53 dei242	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xsrrjh3gjun	6bcdced6c2adc2d011aeffe64bdadf09	sang53 nei242	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xxrr7tt2gw5	a1b4a062044b959c8d3a9eb4fa6bf35a	keoyng53 dei242	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xjb25mumekh	bcfd00561bd256ad791d964f559a05ac	po53 lei242	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x3ykvgtfbyq	2d10afb7d6136ed31a4087eacb93e3fe	sa21 bau53 lei242	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x5z86mhwwe3	0ec24a3e85ec7193457bef67ea7d6e0d	tang55 nu53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xdy7t372v9z	d4d7a14c6a3a85098bae22e32c6d4fb8	keoyng53 ngia33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xt826k85cep	e246460acd3fa58284b3e96eb6d76d8c	kuong24 ngia33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xwptg5z9jtv	44dc47f2397922aff3b7f4b74d3a05cd	teoyng53 ngia33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xkq9tgw928n	21a76cff3ecce35ed32e4b81b54be517	huong33 muo33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xj958wctua8	bd5be9b74658c08006d9647ed5096a16	hua53 puo33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xaydb5xuame	287a8e41a1f4763b4e10c06ee05d2974	huong21 nei242	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xkgvvvs7j3f	8b29e8c740dc082d71794af0fbf76fa9	cai55 uong53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xyahs74y3na	81784741b96ed5a511126a8040cf827e	sang55 njeing53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xyvcjjswjnv	e2682690fb572d1fceddbb35f28d9cc8	ceing33 nging53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xedzsu3dfr9	aa7d9e3a2cb9b15c3845a4aa8429542f	ceing33 nguong53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x3var4hxw27	1df7fe2143d75caa614c2cdf3111b277	tai55 jeing53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x39asx2uux7	00039712a7d29b560ea104c76ab96556	huong55 njeing53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x6c5v2tvrxj	e02602d901aa7c55c281cf0683fd1c51	bang33 ngyong53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xmhxsmcnvvd	a7cf8aef5eedf57c406117a94fc6d5c9	gui21 ji21 bang53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xfeh83cr7r9	c434214f167ef48f1fa48b3a9b00cfd1	sang55 hung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xn9tqfxsqx3	36c829da3ac6ab4dad60c273b320d148	sang53 ei213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xqchu2sqzrj	477df4e968468637c62be05b5c5bac58	sang55 ge33 leing33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xa85zjvbpnw	cd78b63c7bf0f4ce8de7e16b1157fe87	sang53 nie33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x9q7pmz7suy	3882a7182973c5233d55899197d6694a	buang21 nang55 ngiu55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xkt3r57tsv3	30ac280c52874084f1ab0714afc0ecde	sang55 ka55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x34hectzeyx	9f3d403b23431e00e3039610b4ad13aa	sang55 ngang55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xh4rmh6wa22	e3b2d93853dcbbaab915ef5fe2386b95	sang55 gau55 lau55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xzccn3kzhf8	4a30d06cb3775f2a947d760e5773ba4a	sang55 lyng55 njeing53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xvxcbna8fve	8e67a9f16eaee2435f0e4f4f353f6475	geing24 ngia55 zeing53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
