id	word__id	word__text	text	literal_pron	word_literal_pron__id	sandhi_pron	word_sandhi_pron__id	page_number	page_order	content	original_comment	comment	note	updated_time	created_time
xsuzpgahkgv	x7cbdrwmqs8	鼻空骹	鼻空骹	pei213 keoyng55 ka55	x9fyh6ytzez	pi21 eoyng55 ka55	xscfy3fx5p8	2	23	"[{""expl"": ""鼻尖兩旁的部分。北京話叫“鼻翅兒”。"", ""sent"": []}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xkdx7u6jftb	xg7pbw2anxv	咪咪	咪咪	mi55 mi55	x6w888xj7b6	mi55 mi55	xkfc8z9884h	2	24	"[{""expl"": ""形容貓叫的聲音。"", ""sent"": [""貓囝～叫。""]}, {""expl"": ""唤貓的聲音。"", ""sent"": [""～，行過來。""]}, {""expl"": ""兒語，指貓。"", ""sent"": []}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xa44kh46quk	x96tjajv5cj	咪囝	咪囝	mi55 giang33	xqd2tg69ttp	mi53 iang33	xgh3fd3utkc	2	25	"[{""expl"": ""兒語，指小貓。"", ""sent"": []}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
x9x7wmanjmm	x28vs3eeycs	眯眯	眯眯	mi55 mi55	xt72qrvbhn2	mi55 mi55	x2gh5qatca7	2	27	"[{""expl"": ""謔稱患近視眼的人。"", ""sent"": []}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xaagdjakqsk	xeemu48zujv	眉毛	眉毛	mi53 mo53	xfaj4caccpz	mi33 mo53	xkmndbuf8be	2	30	"[{""expl"": ""生在眼眶上緣的毛。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xw9atcg2rha	x3d6tvzzcg5	眉毛月	眉毛月	mi53 mo53 nguok5	xpv5f6jjme9	mi33 mo33 nguok5	xjamk6gg5nr	2	31	"[{""expl"": ""月牙兒。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xqfvw5a8qe5	x8kpbhsb4zk	酒源	酒源	ziu33 nguong53	xq3qt2agr97	ziu21 nguong53	xbuk69bkrp5	193	21	"[{""expl"": ""用江米或好大米等加酒麴釀製的食物，包括釀好的米和酒，味甜。"", ""sent"": []}]"				2025-05-16 17:01:24	2025-05-16 17:01:24
x6z5tqntc8b	x5jshrfqnfu	豬槽	豬槽	dy55 so53	xjcsxcn9n8q	dy55 lo53	xmaydpgre2b	43	12	"[{""expl"": ""盛豬飼料的長條形器具。"", ""sent"": []}]"				2025-05-16 16:59:50	2025-05-16 16:59:50
xre7ubs58xn	xar74wvrqhm	碑	碑	bi55	xc85ryxfbe5	bi55		1	3	"[{""expl"": ""石碑。"", ""sent"": []}]"				2025-05-16 16:59:24	2025-05-16 16:59:24
xqsewqymr37	x6uf5xgpzja	捭	捭	bi55	xt3u3y766w3	bi55		1	1	"[{""expl"": ""用指頭捏着輕輕一提或拔。"", ""sent"": [""頭髪～{一,蜀}條。"", ""◇～錢乞伊。""]}]"	方言字			2025-05-16 16:59:24	2025-05-16 16:59:24
xegchdgku5b	xd865cv7pwj	比	比	bi33	xe5ktzau37d	bi33		1	14	"[{""expl"": ""比較；較量。"", ""sent"": [""～幹勁。"", ""～象棋。""]}, {""expl"": ""比畫；指向某處。"", ""sent"": [""手莫亂～。"", ""伊～𡅏這隻講。""]}, {""expl"": ""介詞，用來比較性狀和程度的差別。"", ""sent"": [""小王～我矮。"", ""黃其～紅其好看。""]}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xpgd4urk45w	xq6j7maz5hm	枇*	枇*	bi53	x52bg37zew4	bi53		1	6	"[{""expl"": ""量詞，用於綑在一起的東西。"", ""sent"": [""送伊{一,蜀}～花。""]}]"				2025-05-16 16:59:24	2025-05-16 16:59:24
xjtedb3b7t7	x9reqa823zy	脾	脾	bi53	xd9tnkpwhjn	bi53		1	9	"[{""expl"": ""脾臟。"", ""sent"": [""△葱補丹田麥補～。""]}]"				2025-05-16 16:59:24	2025-05-16 16:59:24
x3z2y357mqw	xqb8gta8by9	眯	眯	mi55	x6jga5s646y	mi55		2	26	"[{""expl"": ""眼皮合攏而不全閉。"", ""sent"": [""目{珠,睭}（眼睛）～𡅏看。""]}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xrvs83t52tq	xg7cabvrdsz	眉	眉	mi53	xgxtf9t6gnx	mi53		2	29	"[{""expl"": ""眉毛。"", ""sent"": []}, {""expl"": ""邊沿；邊。"", ""sent"": [""井～。""]}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
x3tt7u9ajfj	x3hqgerwt3v	焷	□	bi53	xwsx3z65pfr	bi53		1	13	"[{""expl"": ""炒菜時往熱鍋裏加少許水。"", ""sent"": []}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
x2shb8gjw4n	xc7kz8wxhzv	咪*	□	mi55	xsetz88axrz	mi55		2	28	"[{""expl"": ""諧音前綴。"", ""sent"": [""～摸。"", ""～摸摸。""]}]"	參見“之*zi55”			2025-07-14 13:38:03	2025-05-16 16:59:25
x96p4v2p75v	xh977npmmjx	比例	比例	bi33 lie242	xsgndejfs2f	bi55 lie242	xnmaayethb8	1	15	"[{""expl"": ""=〖比論〗{bi55 loung242,bi55 looung242} 比方；比如。"", ""sent"": [""～講。"", ""～儂家（我們）這隻掏過（拿過去），伊許隻掏來（拿過來）就是對博（交換）。""]}]"		［對原書註音的註釋］原書“比論”的“論”載柳春下去(loung242)，韻母不合，疑爲筆誤，應爲柳釭下去(looung242)		2025-05-16 16:59:25	2025-05-16 16:59:25
xndux9d6ngz	xdt64xhcspt	比並	比並	bi33 piang242	x28grxnf9g9	bi55 wiang242	xs6k898c7qp	1	16	"[{""expl"": ""比較，比出高低。"", ""sent"": [""汝兩隻～囇，{底,俤}儂（誰）氣力大？。""]}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
x3zzvsud5kj	x3artpjvtgj	比樣	比樣	bi33 yong242	x7am649s9mj	bi55 yong242	x9pf4n6ad8f	1	17	"[{""expl"": ""照着樣子（做）。"", ""sent"": [""這條裙我自家～做其。"", ""這雙鞋樣掏去比。""]}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xjpcc63bwks	xzrr3v25wzf	比滴促	比*滴*促*	bi33 leik24 ceoyk24	x85kztnekb5	bi21 lik55 ceoyk24	xmmasmv93k3	1	18	"[{""expl"": ""做事不講道理，不顧及他人，令人尷尬。"", ""sent"": [""汝總*款做{事計,事際}，無管別儂，也過（太）～去。""]}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xew67ad5fzk	xrubpvx52yr	匕箸	匕箸	bei213 deoy242	xxkz4eaa8ej	bi53 leoy242	xk4qr9brc5k	1	19	"[{""expl"": ""尖頭的小筷子。"", ""sent"": []}]"		［對原書註音的註釋］原書“匕”單字音載bei213，“匕箸”連讀音載bi53 leoy242，誤。		2025-05-16 16:59:25	2025-05-16 16:59:25
xa68eqcmjts	x9t4kc3m8jc	庇佑	庇佑	bei213 iu242	xp2q4we7scg	bi53 iu242	x6sub3j2k49	1	20	"[{""expl"": ""保佑。"", ""sent"": [""菩薩～汝。""]}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xj43fbz6vfu	xqgmvqhw37n	秘密	秘密	bei213 mik5	xwasjutjkkd	bi55 mik5	x2wp6hjxda9	1	21	"[{""expl"": ""有所隱蔽，不讓人知道的。"", ""sent"": [""～其{事計,事際}。""]}, {""expl"": ""秘密的事情。"", ""sent"": [""寫日記記自家其～。""]}]"	秘，廣韻至韻兵媚切			2025-05-16 16:59:25	2025-05-16 16:59:25
xq9pbzuj98y	x425nu2wxy6	被告	被告	bei242 goo213	xu8x7r7zr38	bi53 oo213	x7snn6rmwwt	1	22	"[{""expl"": ""被控告的人。"", ""sent"": []}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xbet5daj63v	xxkpj57523c	備辦	備辦	bei242 baing242	x236635g3ew	bi53 waing242	xnz278th24b	1	23	"[{""expl"": ""置辦。"", ""sent"": [""結婚其乇（東西）～好未？。""]}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xsrmskjevna	xks7aw7ac2w	篦梳	篦梳	bei242 seo55	xmb5hr5azjh	bi55 leo55	xh3qbnkgmd4	1	24	"[{""expl"": ""篦子。竹製梳頭用具，中間有梁兒，兩側有密齒。"", ""sent"": []}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xtc3rw8udq8	xknk7q88cry	肥腯	肥腯	pi53 loung33	xs5evxnscam	pi33 loung33	xnrhvwg9ks7	2	4	"[{""expl"": ""（豬）肥。"", ""sent"": [""{這,者*}豬{真,盡}～。""]}]"		［對原書註音的註釋］原書未載後字單字聲母。後字聲母有爭議，《戚林八音》中“腯”字屬他釭上上(即今音toung33)，《榕腔註音詞典》載doung33。［其他發音］該詞亦可說爲白讀bui21 toung242		2025-05-16 16:59:25	2025-05-16 16:59:25
xubfkbg4xmk	xteskx6huzr	疲韌	疲韌	pi53 noung242	xv4gatbv8un	pi21 noung242	x9pve93mcx5	2	6	"[{""expl"": ""動作遲緩；慢。"", ""sent"": [""伊做{事計,事際}{真,盡}～。""]}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xkrbbfguwx2	xpc9m2epcwk	譬如講	譬如講	pi33 y53 goung33	xx56egjmfky	pi21 y53 goung33	xjyhw3ev9qe	2	10	"[{""expl"": ""舉例時的發端語。"", ""sent"": [""{一,蜀}件{事計,事際}無一定逢儂（人人）都會滿意，～做廚師，汝愛食酸，伊愛食甜，蔣*做都有儂{𣍐,儥}滿意。""]}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xpzg4x8hkbn	xdwt2ap95rn	鼻鼻嫩	屁屁嫩	pei213 pei213 nooung242	xcwmcrfmkmf	pi21 wi53 nooung242	xkwyubhs9ga	2	11	"[{""expl"": ""非常小。"", ""sent"": []}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xju6ece4ped	xhy8z37stpf	鼻花	鼻花	pei213 hua55	xzmcnkbc3h2	pi55 ua55	xmu4a9hnvnp	2	12	"[{""expl"": ""鼻梁。"", ""sent"": [""{這,者*}儂鼻做扁扁{喏,着}（鼻子扁），無～。""]}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
x2msda92cjp	x7v6uv9ws5k	鼻毛	鼻毛	pei213 mo53	xcte8p6jpsg	pi55 mo53	xnudzvhgydk	2	13	"[{""expl"": ""鼻孔裏面的毛。"", ""sent"": []}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xdpnpyenq74	xppz62k23r9	鼻腦	鼻腦	pei213 no33	xnp5kgfuzbz	pi53 no33	xghjre4p3aj	2	14	"[{""expl"": ""鼻子尖兒。"", ""sent"": []}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xx5mpjjg99e	x336gttac4u	鼻𠴂*	鼻□	pei213 neo33	x4fqwnnzrub	pi53 neo33	x46vzfh5e2e	2	15	"[{""expl"": ""=〖鼻膏〗pi55 go55 黏稠的鼻涕，多由鼻腔發炎所致。"", ""sent"": []}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xsc5a2scc78	xe435e6m9jk	鼻驢*	鼻驢*	pei213 leo53	xga5ugkh4bz	pi55 leo53	xq35q7vfcuv	2	16	"[{""expl"": ""流出鼻孔，掛在人中兩旁的鼻涕（多指小孩）。"", ""sent"": [""流～。""]}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xz7qhrwdd6n	xf7kuaurs4t	眉頭	眉頭	mi53 tau53	xvfw8hamhs3	mi33 lau53	xwcf53rwgud	2	32	"[{""expl"": ""兩眉附近的地方。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xjujyaqa74q	x6akums9smg	矮囝	矮囝	e33 giang33	xt6gxgs3d4a	e24 iang33	xpp7qkhemgx	96	1	"[{""expl"": ""貶稱身材短小的人。"", ""sent"": []}, {""expl"": ""泛指個子小的人。"", ""sent"": []}]"				2025-05-16 17:00:23	2025-05-16 17:00:23
xxs9tfamdj4	xkv2ae3nav3	豬哥	豬哥	dy55 go55	x2a5n66akyh	dy55 o55	xuj7w6eh359	43	13	"[{""expl"": ""指奸夫。"", ""sent"": []}, {""expl"": ""指色鬼。"", ""sent"": []}]"				2025-05-16 16:59:50	2025-05-16 16:59:50
xuqhxcu3pcv	xt9t2mu4mza	痞	痞	pi33	xfymh6ndnd8	pi33		2	8	"[{""expl"": ""很小的。"", ""sent"": [""△寧抱三斗米，莫抱伲囝～（婴兒，意爲抱婴兒很累）。""]}]"	另見pai33			2025-05-16 16:59:25	2025-05-16 16:59:25
xnesymra4q9	xgqjwyczcyv	鄙	鄙	pi33	x6qu2s4r7q7	pi33		2	9	"[{""expl"": ""輕視；看不起。"", ""sent"": [""莫{這麼,這滿}奸狡利（吝嗇），汝總*款做會乞儂（令人）～。""]}, {""expl"": ""卑鄙。"", ""sent"": [""許隻儂野～，自家做其{事計,事際}，賴別儂頭𡅏。""]}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
x9xh3ffecsn	xbsk6vguggq	疲	疲	pi53	xju5nzvut5a	pi53		2	5	"[{""expl"": ""（生意）不好；蕭條。"", ""sent"": [""最近生意野～。"", ""這批貨{真,盡}～。""]}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
x2qnmjfyrpn	xdxu3x3rkx9	皮	皮	pi53	xk4sd7rx8e6	pi53		2	3	"[{""expl"": ""頑皮。"", ""sent"": [""伲囝哥（孩子）{真,盡}～。""]}, {""expl"": ""由於受申斥或責罰次數過多而感覺“無所謂”。"", ""sent"": [""伲囝哥伓使（不要）{剃*了*,直頭}（一直）拍（打），會拍～去。"", ""乞罵～去。""]}]"	另見pui53			2025-05-16 16:59:25	2025-05-16 16:59:25
x8dpvndvuf5	xt6w74gqy2y	疕	疕	pi33	x5bn39uqqkf	pi33		2	7	"[{""expl"": ""傷口或瘡口結的痂。"", ""sent"": [""結～。"", ""褪（脫）～。""]}]"	廣韻紙韻匹婢切：“瘡上甲。”本地寫作“痞”。《中國諺語集成·福建卷·福州市鼓樓區分卷》：“育仔易脫痞(脫痂，引申爲脫手)，看孫看到死”			2025-05-16 16:59:25	2025-05-16 16:59:25
xupsr8vwpwe	xnd45a56tsz	眉頭前	眉頭前	mi53 tau53 seing53	xeypjkh8a7c	mi33 lau33 leing53	x7spc6p7nse	2	33	"[{""expl"": ""眼前；跟前。"", ""sent"": [""就{在,敆}汝～，汝看{𣍐,儥}見？。""]}, {""expl"": ""目前。"", ""sent"": [""～其{事計,事際}趕緊做。""]}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xmhhytb28qm	xf7vyms7y89	迷信乇	迷信乇	mi53 seing213 nooh24	xktffxxjkne	mi21 leing213 nooh24	xmbkhvuyef3	3	3	"[{""expl"": ""指冥錢、冥紙等迷信用品。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xyz8yakcv3r	xas4bqn2ypb	遺腹囝	遺腹囝	mi53 bouk24 giang33	xnpe6e3ay52	mi21 wuk24 giang33	xwsbq52kwpz	3	6	"[{""expl"": ""遺腹子。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xf797yeg9c6	xyrk8hzeary	彌勒椅	彌勒椅	mi53 leik5 ie33	x7msy3dyhr6	mi33 leik33 ie33	xbvnxdwv8k8	3	7	"[{""expl"": ""一種大椅子，圓形，有扶手，有靠背。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xsk98krfqea	xhdwwzs73vg	彌勒佛	彌勒佛	mi53 leik5 huk5	xkdan23e2as	mi21 leik55 huk5	x92k7qhq7d7	3	8	"[{""expl"": ""=〖彌提〗mi33 te53 佛教菩薩之一，佛寺中常有他的塑像，胸腹袒露，滿面笑容。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
x4fdueduyhq	xdjmbqr9svu	彌月	彌月	mi53 nguok5	xrk78837enm	mi33 nguok5	xkcxw3abw4f	3	9	"[{""expl"": ""新娘結婚滿一個月，這天必須歸寧。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xt72z8p8rbv	xy95crf26mp	米牙	米牙	mi33 nga53	xenj3mbafsa	mi21 nga53	xtrkjqrw7vj	3	11	"[{""expl"": ""舊時進行糧食交易的牙行。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
x3346e4g23y	xvhfv6yfpnr	米䇭	米䇭	mi33 lo33	xytqtjapmrv	mi24 lo33	xcw49mg4xac	3	12	"[{""expl"": ""盛米的竹器，幫較淺。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
x4nzx7qqphq	x8z45n2uw77	米篩	米𥭘	mi33 tai55	x9ddcr3fkr4	mi21 lai55	xtxd4fxbfgv	3	13	"[{""expl"": ""篩米用的篩子。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xb7yaqq7m2e	xr4mme75eet	米箂	米籮	mi33 lai53	xzfkxn6kqdq	mi21 lai53	x5vq7pe2ddb	3	14	"[{""expl"": ""盛米的竹器，大圓口，方底、幫較淺。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xfvxp52xgra	xx3mva4dw57	米票	米票	mi33 piu213	x7kjvx9ynf7	mi55 wiu213	xgkxpr6mwx3	3	15	"[{""expl"": ""糧食定量供應時期，購買糧食或糧食製品的憑證。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
x775zjr7cdz	x6dj7qemfu7	米酒	米酒	mi33 ziu33	x6kewcg32vf	mi24 jiu33	xw264ecce4t	3	16	"[{""expl"": ""用糯米釀的酒。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xbb9bszkud8	xnenhxpvvvr	米槌	米槌	mi33 tui53	x95n3n2wf3a	mi21 tui53	xka46xz7pxn	3	17	"[{""expl"": ""舂米用的碓杵。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xdgdjcauxd3	x4j3tspytrv	米心	米心	mi33 sing55	xkyz6zjjw3y	mi21 ling55	xqbfpa5becn	3	18	"[{""expl"": ""米的質量。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xd9n44zskf6	x75u7advtpr	米蜂	米蜂*	mi33 pung55	x9hpf78v3ju	mi21 wung55	xeqf49mn5kj	3	19	"[{""expl"": ""一種米製的食物。將米放進一種圓筒形的爐子，爐的上部密封不透氣，爐子不停地轉動，米經高壓爆裂而成。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xrvmz8t2hat	xmp5cc3yn85	米房	米房	mi33 bung53	xvhncqwp4fd	mi21 wung53	x8df5jhytgd	3	20	"[{""expl"": ""碓房。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xre2wm357kp	xv3jypd2g2c	米粉	米粉	mi33 hung33	x6vrjfbvsba	mi24 ung33	xcvvnqwc8yf	3	21	"[{""expl"": ""大米磨成的粉。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xymqrcvkwye	xwkng4txpcp	米粉肉	米粉肉	mi33 hung33 nyk5	x9wwjv3vswm	mi21 ung21 nyk5	xspxxrfehau	3	22	"[{""expl"": ""粉蒸肉。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
x2w4duq3g2p	xjyy88ps69z	米缸	米缸	mi33 goung55	xewmtdcbute	mi21 oung55	x5dezsz6fc3	3	23	"[{""expl"": ""盛米的陶器。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xvek7jp84x6	xag7jbfyctw	米糠	米糠	mi33 koung55	x33s3c5kpz4	mi21 oung55	xmp54rkxatv	3	24	"[{""expl"": ""加工大米時脫下來的皮兒。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xnuddeabv9a	xqdrv9zrkjp	米行	米行	mi33 oung53	x5tfeh4qvtc	mi21 oung53	x8hs6vhgf4j	3	25	"[{""expl"": ""舊時賣米的商行。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xwg265sasat	xqqmsstvc52	米蟲	米蟲	mi33 teoyng53	xz2znx5y8v7	mi21 teoyng53	xw4nknxb3es	3	26	"[{""expl"": ""米裏的蟲子。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xwajnj2q752	x3pu6jrmjke	米棧	米棧	mi33 zang242	xjnmgdf7fjp	mi55 jang242	xyq6ywquft4	3	27	"[{""expl"": ""舊時具有營業性質的存放糧食的地方。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xyabrhc737n	xare9u4b9nf	米漿	米漿	mi33 zuong55	x7my3jy9ubk	mi21 juong55	x8hspf43dqy	3	28	"[{""expl"": ""用大米、糯米等加水磨成的較濃的液體。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xf3bfcj7ryz	xeped65zspz	米管	米管	mi33 guong33	x4weyr8wkec	mi24 uong33	xq85eauvszu	3	29	"[{""expl"": ""做飯時量米用的罐子。舊時多用粗短的竹筒，現也用鐵皮、塑料等做的小罐子。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
x6t393bmy38	xkmgunrz8d5	米店	米店	mi33 daing213	xn9xjakemyf	mi55 laing213	xbdrxvuqxuk	3	30	"[{""expl"": ""糧店。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xmtrnvxk94s	xrvs8mqf6xp	米搭尺	米搭尺	mi33 dak24 cuoh24	xb2ee3km8f8	mi21 lak55 cuoh24	x2zt5ffr9xf	3	31	"[{""expl"": ""學生用的米制尺子。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xmnqtqw2e2k	xy83tc5q4td	米雪	米雪	mi33 suok24	xecv2rq5qhb	mi55 suok24	xhefkpjc7sk	3	32	"[{""expl"": ""米粒狀的雪。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xch65wsmd6v	x8hdumddbxt	米色	米色	mi33 saik24	xu9de8svysq	mi55 saik24	xds8puj5h8b	3	33	"[{""expl"": ""白而微黃的顏色。"", ""sent"": []}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
xkhz6ttupjb	xjf8bs7nu24	地窨	地窨	dei242 ang213	xvecd26tj8x	di53 ang213	xnd43qyevjm	4	24	"[{""expl"": ""地窖。"", ""sent"": []}]"				2025-05-16 16:59:27	2025-05-16 16:59:27
xr8k7wug37m	xrhze27fwk8	鰻魚	鰻魚	muang53 ngy53	x4s5v5suppe	muang33 ngy53	xvw922kadpp	287	19	"[{""expl"": ""魚，身體長形，像蛇，表面多黏液，生活在海中。"", ""sent"": []}]"				2025-05-16 17:02:24	2025-05-16 17:02:24
xymfv4fahsr	x89b5szzdmc	美人柴	美人柴	mi33 ing53 ca53	xwn5uwyzzwq	mi21 ing55 nja53	xungew3u5a4	3	34	"[{""expl"": ""舊時婦女用的一種化妝品，形似刨花，含有膠質。用水泡後，其汁有黏性，塗在頭髮上，可使頭髮光滑平整。"", ""sent"": []}]"				2025-05-16 16:59:27	2025-05-16 16:59:27
xcmcrwzrknh	xphebbr96np	迷	迷	mi53	xxgf672geuh	mi53		3	1	"[{""expl"": ""分辨不清，失去判斷能力。"", ""sent"": [""行路行～去。""]}, {""expl"": ""因對某人或某一事物發生特殊愛好而沉醉。"", ""sent"": [""看書看～去。""]}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
x7g2ht7f623	xjq7max365w	楣	楣	mi53	x37nu7hwbap	mi53		3	5	"[{""expl"": ""門框上邊的橫木。"", ""sent"": [""門～。""]}]"				2025-05-16 16:59:26	2025-05-16 16:59:26
